Description	Chr	Start	End	Length	Min Depth	Max Depth	Average Depth
GRIK3_ex	chr1	37271737	37271884	148	1144	1745	1517.7
GRIK3_ex_2	chr1	37346222	37346474	253	1461	3359	2652.19
MACF1_ex	chr1	39927559	39927709	151	1106	1781	1478.6
PABPC4_ex	chr1	40035524	40035667	144	1073	1571	1406.72
NT5C1A_ex	chr1	40124904	40125044	141	1358	1950	1689.62
MYCL_ex	chr1	40363259	40363431	173	826	1325	1152.29
RLF_ex	chr1	40627119	40627271	153	1035	1627	1405.42
LRRIQ3_ex	chr1	74575056	74575253	198	870	1664	1367.65
TGFBR3_ex	chr1	92185462	92185681	220	943	1968	1572.43
LPPR4_ex	chr1	99771257	99772585	1329	1143	3075	2604.39
NRAS_ex	chr1	115256398	115256631	234	1268	2373	1951.82
NRAS_ex_2	chr1	115258638	115258818	181	1589	2521	2167.35
TARS2_ex	chr1	150477075	150477229	155	1308	2292	1935.57
MCL1_ex	chr1	150550760	150550919	160	1421	2100	1872.64
CTSS_ex	chr1	150727470	150727631	162	1208	1718	1517.78
SEMA6C_ex	chr1	151108075	151108232	158	1130	1659	1453.73
RFX5_ex	chr1	151316185	151316324	140	1608	2234	1982.23
LELP1_ex	chr1	153177253	153177394	142	1294	2032	1776.3
S100A7_ex	chr1	153430293	153430426	134	1018	1463	1290.47
DENND4B_ex	chr1	153907318	153907429	112	555	854	765.714
HAX1_ex	chr1	154246270	154246346	77	1255	1507	1414.61
IL6R_ex	chr1	154401715	154401878	164	786	1496	1246.73
PKLR_ex	chr1	155264325	155264472	148	831	1232	1068.5
SPTA1_ex	chr1	158627234	158627465	232	1183	1800	1579.28
SPTA1_ex_2	chr1	158632484	158632728	245	1553	2551	2188.57
DDR2_ex	chr1	162743224	162743417	194	1713	2643	2255.76
DDR2_ex_2	chr1	162745419	162745656	238	1538	2568	2192
DDR2_ex_3	chr1	162745904	162746192	289	2080	3869	3081.68
DDR2_ex_4	chr1	162748334	162748548	215	1848	3009	2636.99
DDR2_ex_5	chr1	162749879	162750051	173	1426	2310	2004.32
TNN_ex	chr1	175086076	175086211	136	1363	2159	1877.29
TNN_ex_2	chr1	175086221	175086297	77	1354	2050	1723.81
TNR_ex	chr1	175372301	175372766	466	903	2712	2162.27
ASTN1_ex	chr1	176915056	176915285	230	1199	2157	1804.28
ASTN1_ex_2	chr1	177001586	177002014	429	1290	2473	2046.2
BRINP3_ex	chr1	190067124	190068224	1101	1451	3709	2982.19
BRINP3_ex_2	chr1	190203479	190203619	141	1067	1523	1350.22
KCNT2_ex	chr1	196227340	196227582	243	1510	2732	2398.82
NLRP3_ex	chr1	247587162	247588364	1203	1435	3516	2983.94
NLRP3_ex_2	chr1	247588367	247588817	451	2635	3678	3309.28
NLRP3_ex_3	chr1	247588817	247588895	79	1980	2751	2411.23
TRIM58_ex	chr1	248039192	248039764	573	1232	3430	2695.86
DDX1_ex	chr2	15760345	15760498	154	5572	7670	6890.83
