Description	Chr	Start	End	Length	Min Depth	Max Depth	Average Depth
GRIK3_ex	chr1	37271737	37271884	148	764	1177	1014.95
GRIK3_ex_2	chr1	37346222	37346474	253	962	1965	1617.7
MACF1_ex	chr1	39927559	39927709	151	801	1251	1045.43
PABPC4_ex	chr1	40035524	40035667	144	807	1209	1062.19
NT5C1A_ex	chr1	40124904	40125044	141	874	1252	1075.69
MYCL_ex	chr1	40363259	40363431	173	649	1087	928.757
RLF_ex	chr1	40627119	40627271	153	797	1287	1077.81
LRRIQ3_ex	chr1	74575056	74575253	198	899	1574	1309.49
TGFBR3_ex	chr1	92185462	92185681	220	673	1441	1151.73
LPPR4_ex	chr1	99771257	99772585	1329	832	1959	1730.24
NRAS_ex	chr1	115256398	115256631	234	784	1645	1358.53
NRAS_ex_2	chr1	115258638	115258818	181	1229	1768	1556.06
TARS2_ex	chr1	150477075	150477229	155	1651	2476	2147.94
MCL1_ex	chr1	150550760	150550919	160	2126	2993	2687.38
CTSS_ex	chr1	150727470	150727631	162	1373	2050	1795.75
SEMA6C_ex	chr1	151108075	151108232	158	1159	1855	1614.56
RFX5_ex	chr1	151316185	151316324	140	1842	2551	2261.89
LELP1_ex	chr1	153177253	153177394	142	1521	2493	2169.8
S100A7_ex	chr1	153430293	153430426	134	1223	1851	1632.88
DENND4B_ex	chr1	153907318	153907429	112	862	1220	1085.21
HAX1_ex	chr1	154246270	154246346	77	1549	1865	1731.43
IL6R_ex	chr1	154401715	154401878	164	970	1996	1652.17
PKLR_ex	chr1	155264325	155264472	148	938	1423	1232.45
SPTA1_ex	chr1	158627234	158627465	232	1593	2568	2193.98
SPTA1_ex_2	chr1	158632484	158632728	245	1891	3532	2931.12
DDR2_ex	chr1	162743224	162743417	194	2170	3378	2941.65
DDR2_ex_2	chr1	162745419	162745656	238	1727	3001	2562.12
DDR2_ex_3	chr1	162745904	162746192	289	2456	4587	3784.27
DDR2_ex_4	chr1	162748334	162748548	215	2178	3789	3295.55
DDR2_ex_5	chr1	162749879	162750051	173	1762	2951	2553.85
TNN_ex	chr1	175086076	175086211	136	1948	2538	2341.74
TNN_ex_2	chr1	175086221	175086297	77	1429	2224	1869.21
TNR_ex	chr1	175372301	175372766	466	1037	3083	2460.48
ASTN1_ex	chr1	176915056	176915285	230	1328	2928	2356.97
ASTN1_ex_2	chr1	177001586	177002014	429	1715	2999	2611.82
BRINP3_ex	chr1	190067124	190068224	1101	1853	4769	3808.86
BRINP3_ex_2	chr1	190203479	190203619	141	1514	2156	1913.54
KCNT2_ex	chr1	196227340	196227582	243	2223	3722	3301.67
NLRP3_ex	chr1	247587162	247588364	1203	1677	3786	3257.75
NLRP3_ex_2	chr1	247588367	247588817	451	2869	3698	3404.77
NLRP3_ex_3	chr1	247588817	247588895	79	2196	2921	2626.91
