#Gene	Best NCBI	Notes
ABL1	NM_005157.4	STAMP Transcript assignments150611
AKT1	NM_005163.2	STAMP Transcript assignments150611
ALK	NM_004304.4	STAMP Transcript assignments150611
BCL2	NM_000633.2	STAMP Transcript assignments150611
BRAF	NM_004333.4	STAMP Transcript assignments150611
BRINP3	NM_199051.1	STAMP Transcript assignments150611
CCND1	NM_053056.2	STAMP Transcript assignments150611
CDKN2A	NM_000077.4 	STAMP Transcript assignments150611
CSMD1	NM_033225.5	STAMP Transcript assignments150611
CSMD3	NM_198123.1	STAMP Transcript assignments150611
CTNNA2	NM_004389.3	STAMP Transcript assignments150611
CTNNB1	NM_001904.3	STAMP Transcript assignments150611
CUL3	NM_003590	STAMP Transcript assignments150611
DCC	NM_005215.3	STAMP Transcript assignments150611
DDR2	NM_006182.2	STAMP Transcript assignments150611
EGFR	NM_005228.3	STAMP Transcript assignments150611
ERBB2	NM_004448.2	STAMP Transcript assignments150611
ERBB4	NM_005235.2	STAMP Transcript assignments150611
FBXW7	NM_033632.3	STAMP Transcript assignments150611
FGF3	NM_005247.2	STAMP Transcript assignments150611
FGFR1	NM_023110.2	STAMP Transcript assignments150611
FGFR2	NM_000141.4	STAMP Transcript assignments150611
FOXP1	NM_032682.5	STAMP Transcript assignments150611
HRAS	NM_005343.2	STAMP Transcript assignments150611
KDR	NM_002253.2	STAMP Transcript assignments150611
KEAP1	NM_203500.1	STAMP Transcript assignments150611
KIT	NM_000222.2	STAMP Transcript assignments150611
KRAS	NM_033360.3	STAMP Transcript assignments150611
MAP2K1	NM_002755.3	STAMP Transcript assignments150611
MAP2K2	NM_030662.3	STAMP Transcript assignments150611
MCL1	NM_021960.4	STAMP Transcript assignments150611
MDM2	NM_002392.5	STAMP Transcript assignments150611
MECOM	NM_004991.3	STAMP Transcript assignments150611
MET	NM_001127500.1	STAMP Transcript assignments150611
MYC	NM_002467.4	STAMP Transcript assignments150611
MYCN	NM_005378.4	STAMP Transcript assignments150611
MYD88	NM_002468.4	STAMP Transcript assignments150611
NCAM1	NM_181351.4	STAMP Transcript assignments150611
NFE2L2	NM_006164.4	STAMP Transcript assignments150611
NOTCH1	NM_017617.3	STAMP Transcript assignments150611
NRAS	NM_002524.4	STAMP Transcript assignments150611
PDGFRA	NM_006206.4	STAMP Transcript assignments150611
PDGFRB	NM_002609.3	STAMP Transcript assignments150611
PIK3CA	NM_006218.2	STAMP Transcript assignments150611
PTEN	NM_000314.4	STAMP Transcript assignments150611
PTPRD	NM_002839.3	STAMP Transcript assignments150611
RAF1	NM_002880.3	STAMP Transcript assignments150611
RB1	NM_000321.2	STAMP Transcript assignments150611
RET	 NM_020975.4	STAMP Transcript assignments150611
ROBO1	NM_002941.3	STAMP Transcript assignments150611
ROS1	NM_002944.2	STAMP Transcript assignments150611
S100A7	NM_002963.3	STAMP Transcript assignments150611
SERPINB3	NM_006919.2	STAMP Transcript assignments150611
SETBP1	NM_015559.2	STAMP Transcript assignments150611
SKP2	NM_005983.3	STAMP Transcript assignments150611
SMAD4	NM_005359.5	STAMP Transcript assignments150611
SOX2	NM_003106.3	STAMP Transcript assignments150611
STK11	NM_000455.4	STAMP Transcript assignments150611
TERT	NM_198253.2	STAMP Transcript assignments150611
TP53	NM_000546.5	STAMP Transcript assignments150611
TP63	NM_003722.4	STAMP Transcript assignments150611
TPTE2	NM_199254.2	STAMP Transcript assignments150611
U2AF1	NM_006758.2	STAMP Transcript assignments150611
WHSC1L1	NM_023034.1	STAMP Transcript assignments150611
APC	NM_000038.5	STAMP2 preferred transcripts160711
AR	NM_000044.3	STAMP2 preferred transcripts160711
ARAF	NM_001256196.1	STAMP2 preferred transcripts160711
ARID1A	NM_006015.4	STAMP2 preferred transcripts160711
AURKA	NM_003600.3	STAMP2 preferred transcripts160711
BAP1	NM_004656.3	STAMP2 preferred transcripts160711
BCR	NM_004327.3	STAMP2 preferred transcripts160711
BRCA1	NM_007294.3	STAMP2 preferred transcripts160711
BRCA2	NM_000059.3	STAMP2 preferred transcripts160711
CASP8	NM_001228.4	STAMP2 preferred transcripts160711
CCND2	NM_001759.3	STAMP2 preferred transcripts160711
CCND3	NM_001760.4	STAMP2 preferred transcripts160711
CCNE1	NM_001238.3	STAMP2 preferred transcripts160711
CDH1	NM_004360.4	STAMP2 preferred transcripts160711
CDK12	NM_016507.3	STAMP2 preferred transcripts160711
CDK4	NM_000075.3	STAMP2 preferred transcripts160711
CDK6	NM_001259.6	STAMP2 preferred transcripts160711
CDKN1B	NM_004064.4	STAMP2 preferred transcripts160711
CDKN2B	NM_004936.3	STAMP2 preferred transcripts160711
CHEK2	NM_007194.3	STAMP2 preferred transcripts160711
CREBBP	NM_004380.2	STAMP2 preferred transcripts160711
DMNT3A	NM_022552.4	STAMP2 preferred transcripts160711
DPH3 promoter	NM_206831.2	STAMP2 preferred transcripts160711
EP300	NM_001429.3	STAMP2 preferred transcripts160711
EPHA2	NM_004431.4	STAMP2 preferred transcripts160711
EPHA3	NM_005233.5	STAMP2 preferred transcripts160711
ERBB3	NM_001982.3	STAMP2 preferred transcripts160711
ESR1	NM_000125.3	STAMP2 preferred transcripts160711
EZH2	NM_004456.4	STAMP2 preferred transcripts160711
FGF4	NM_002007.2	STAMP2 preferred transcripts160711
FGFR3	NM_000142.4	STAMP2 preferred transcripts160711
FLT3	NM_004119.2	STAMP2 preferred transcripts160711
FOXO1	NM_002015.3	STAMP2 preferred transcripts160711
GATA3	NM_002051.2	STAMP2 preferred transcripts160711
GNA11	NM_002067.4	STAMP2 preferred transcripts160711
GNAQ	NM_002072.4	STAMP2 preferred transcripts160711
GNAS	NM_000516.5	STAMP2 preferred transcripts160711
HGF	NM_000601.5	STAMP2 preferred transcripts160711
HNF1A	NM_000545.6	STAMP2 preferred transcripts160711
IDH1	NM_005896.3	STAMP2 preferred transcripts160711
IDH2	NM_002168.3	STAMP2 preferred transcripts160711
IGF1R	NM_000875.4	STAMP2 preferred transcripts160711
JAK2	NM_004972.3	STAMP2 preferred transcripts160711
JAK3	NM_000215.3	STAMP2 preferred transcripts160711
MDM4	NM_002393.4	STAMP2 preferred transcripts160711
MED12	NM_005120.2	STAMP2 preferred transcripts160711
MLH1	NM_000249.3	STAMP2 preferred transcripts160711
MSH2	NM_000251.2	STAMP2 preferred transcripts160711
MTOR	NM_004958.3	STAMP2 preferred transcripts160711
NF1	NM_001042492.2	STAMP2 preferred transcripts160711
NF2	NM_000268.3	STAMP2 preferred transcripts160711
NKX2.1	NM_003317.3	STAMP2 preferred transcripts160711
NKX2.1	NM_001079668.2	STAMP2 preferred transcripts160711
NTRK1	NM_002529.3	STAMP2 preferred transcripts160711
NTRK2	NM_006180.4	STAMP2 preferred transcripts160711
NTRK3	NM_001012338.2	STAMP2 preferred transcripts160711
PALB2	NM_024675.3	STAMP2 preferred transcripts160711
PCBP1	NM_006196.3	STAMP2 preferred transcripts160711
PDGFRA	NM_006206.4	STAMP2 preferred transcripts160711
PDGFRB	NM_002609.3	STAMP2 preferred transcripts160711
PIK3R1	NM_181523.2	STAMP2 preferred transcripts160711
PLEKHS1 promoter	NM_024889.4	STAMP2 preferred transcripts160711
POLD1	NM_002691.3	STAMP2 preferred transcripts160711
POLE	NM_006231.3	STAMP2 preferred transcripts160711
PPP2R1A	NM_014225.5	STAMP2 preferred transcripts160711
PTCH1	NM_000264.3	STAMP2 preferred transcripts160711
PTPN11	NM_002834.3	STAMP2 preferred transcripts160711
RAC1	NM_006908.4	STAMP2 preferred transcripts160711
RAF1	NM_002880.3	STAMP2 preferred transcripts160711
RHOA	NM_001664.3	STAMP2 preferred transcripts160711
RIT1	NM_006912.5	STAMP2 preferred transcripts160711
RIT1	NM_001256821.1	STAMP2 preferred transcripts160711
SDHD promoter	NM_003002.3	STAMP2 preferred transcripts160711
SETD2	NM_014159.6	STAMP2 preferred transcripts160711
SMO	NM_005631.4	STAMP2 preferred transcripts160711
SPOP	NM_003563.3	STAMP2 preferred transcripts160711
SRC	NM_005417.4	STAMP2 preferred transcripts160711
SRSF2	NM_003016.4	STAMP2 preferred transcripts160711
TERT promoter	NM_198253.2	STAMP2 preferred transcripts160711
TSC1	NM_000368.4	STAMP2 preferred transcripts160711
TSC2	NM_000548.4	STAMP2 preferred transcripts160711
VEGFA	NM_003376.5	STAMP2 preferred transcripts160711
VHL	NM_000551.3	STAMP2 preferred transcripts160711
YAP1	NM_001130145.2	STAMP2 preferred transcripts160711
EML4	NM_019063.4	Added 2016-07-19 by EF
SLC34A2	NM_006424.2	Added 2016-07-19 by EF
CCDC6	NM_005436.4	Added 2016-07-19 by EF
C13orf45	NM_001257995.1	Added 2016-07-19 by EF
FGF19	NM_005117.2	Added 2016-07-20 by EF
