#STAMP depth report v1.2
#date=Sat Feb  6 11:23:37 PST 2016
#bam=SampleA.samtools-deduped.bam
#bed=NSCLC_CLIN_OCT2014_intervals_exonic.bed
#len=130943
#min=53
#max=2021
#avg=1190.58
#med=1203
Description	Chr	Start	End	Length	Min_Depth	Max_Depth	Average_Depth	Median_Depth
GRIK3_ex	chr1	37271737	37271884	148	596	1039	877.905	897
GRIK3_ex_2	chr1	37346222	37346474	253	595	1271	1056.28	1099
MACF1_ex	chr1	39927559	39927709	151	738	1254	1046.56	1049
PABPC4_ex	chr1	40035524	40035667	144	773	1112	981.667	997
NT5C1A_ex	chr1	40124904	40125044	141	752	1117	975.355	990
MYCL_ex	chr1	40363259	40363431	173	659	1027	892.624	923
RLF_ex	chr1	40627119	40627271	153	790	1272	1095.38	1140
LRRIQ3_ex	chr1	74575056	74575253	198	716	1348	1129.06	1196
TGFBR3_ex	chr1	92185462	92185681	220	561	1132	899.114	917.5
LPPR4_ex	chr1	99771257	99772585	1329	698	1457	1309.16	1336
NRAS_ex	chr1	115256398	115256631	234	855	1523	1264.89	1300
NRAS_ex_2	chr1	115258638	115258818	181	1069	1670	1472.86	1528
TARS2_ex	chr1	150477075	150477229	155	876	1272	1129.26	1164
MCL1_ex	chr1	150550760	150550919	160	1270	1907	1691.66	1727
CTSS_ex	chr1	150727470	150727631	162	709	1118	985.698	1023.5
SEMA6C_ex	chr1	151108075	151108232	158	652	1046	897.766	903.5
RFX5_ex	chr1	151316185	151316324	140	1034	1453	1282.06	1319
LELP1_ex	chr1	153177253	153177394	142	667	1097	959.965	986.5
S100A7_ex	chr1	153430293	153430426	134	657	932	829.157	842
DENND4B_ex	chr1	153907318	153907429	112	682	957	850.679	851
HAX1_ex	chr1	154246270	154246346	77	1017	1252	1161.48	1179
IL6R_ex	chr1	154401715	154401878	164	671	1257	1062.6	1098.5
PKLR_ex	chr1	155264325	155264472	148	557	843	734.932	761.5
SPTA1_ex	chr1	158627234	158627465	232	729	1084	953.974	984.5
SPTA1_ex_2	chr1	158632484	158632728	245	769	1265	1089.42	1150
DDR2_ex	chr1	162743224	162743417	194	824	1228	1085.4	1125.5
DDR2_ex_2	chr1	162745419	162745656	238	742	1287	1112.13	1157
DDR2_ex_3	chr1	162745904	162746192	289	927	1598	1378.33	1436
DDR2_ex_4	chr1	162748334	162748548	215	988	1608	1421.13	1493
DDR2_ex_5	chr1	162749879	162750051	173	870	1379	1206.5	1244
TNN_ex	chr1	175086076	175086211	136	972	1301	1201.31	1227.5
TNN_ex_2	chr1	175086221	175086297	77	775	1141	978.325	988
TNR_ex	chr1	175372301	175372766	466	498	1366	1131.11	1245.5
ASTN1_ex	chr1	176915056	176915285	230	649	1123	957.217	996.5
ASTN1_ex_2	chr1	177001586	177002014	429	768	1205	1073.41	1101
BRINP3_ex	chr1	190067124	190068224	1101	993	2011	1734.89	1773
BRINP3_ex_2	chr1	190203479	190203619	141	822	1376	1196.89	1227
KCNT2_ex	chr1	196227340	196227582	243	1015	1734	1532.55	1638
NLRP3_ex	chr1	247587162	247588364	1203	905	1632	1494.29	1514
NLRP3_ex_2	chr1	247588367	247588817	451	1405	1606	1525.24	1531
NLRP3_ex_3	chr1	247588817	247588895	79	1062	1420	1294.41	1333
TRIM58_ex	chr1	248039192	248039764	573	641	1486	1203.88	1280
DDX1_ex	chr2	15760345	15760498	154	745	1180	1002.97	1008.5
MYCN_ex	chr2	16082505	16082642	138	74	166	134.261	142.5
ALK_ex	chr2	29416068	29416797	730	881	1781	1518.13	1534.5
ALK_ex_2	chr2	29419608	29419751	144	704	1099	954.868	975.5
ALK_ex_3	chr2	29420373	29420567	195	947	1492	1301.66	1343
ALK_ex_4	chr2	29430003	29430159	157	729	1105	981.172	1008
ALK_ex_5	chr2	29432613	29432759	147	831	1204	1064.76	1106
ALK_ex_6	chr2	29436818	29436971	154	693	1028	892.169	915.5
ALK_ex_7	chr2	29443538	29443734	197	642	1073	933.396	942
ALK_ex_8	chr2	29445168	29445304	137	892	1192	1078.79	1089
ALK_ex_9	chr2	29445348	29445487	140	704	1041	945.6	993
ALK_ex_10	chr2	29446178	29446811	634	825	1433	1220.09	1223.5
ALK_ex_11	chr2	29446818	29448463	1646	861	1442	1256.42	1264
SLC8A1_ex	chr2	40655614	40657081	1468	783	1566	1339.94	1352
SLC8A1_ex_2	chr2	40657084	40657440	357	934	1401	1294.55	1306
LRRTM4_ex	chr2	77745452	77746964	1513	923	1840	1549.45	1585
REG3A_ex	chr2	79384672	79384750	79	550	717	658.797	668
REG3A_ex_2	chr2	79384762	79384840	79	405	649	546.823	546
REG3A_ex_3	chr2	79385437	79385543	107	842	1144	1040.86	1057
CTNNA2_ex	chr2	80085113	80085323	211	697	1428	1161.27	1192
CTNNA2_ex_2	chr2	80101198	80101492	295	633	1250	1085.81	1137
CTNNA2_ex_3	chr2	80136708	80136972	265	555	1052	874.562	892
LRRTM1_ex	chr2	80529410	80530860	1451	427	1447	1208.13	1242
ST6GAL2_ex	chr2	107423111	107423415	305	578	1365	1110.2	1191
CNTNAP5_ex	chr2	125261856	125262161	306	704	1334	1100.92	1120.5
LRP1B_ex	chr2	141242897	141243115	219	865	1572	1298.32	1334
LRP1B_ex_2	chr2	141665412	141665650	239	643	1163	988.314	1033
KCNJ3_ex	chr2	155711255	155711854	600	813	1640	1420.82	1476.5
NFE2L2_ex	chr2	178095482	178096587	1106	960	1855	1677.05	1699
NFE2L2_ex_2	chr2	178096587	178096759	173	1074	1734	1575.95	1658
NFE2L2_ex_3	chr2	178097127	178097309	183	975	1646	1420.52	1479
NFE2L2_ex_4	chr2	178097952	178098091	140	748	1080	951.086	974
NFE2L2_ex_5	chr2	178098702	178099022	321	753	1782	1446.67	1504
SF3B1_ex	chr2	198267256	198267583	328	576	1455	1089.38	1119
ERBB4_ex	chr2	212286709	212286845	137	829	1233	1098.37	1120
ERBB4_ex_2	chr2	212288844	212289051	208	856	1434	1218.59	1266
ERBB4_ex_3	chr2	212293094	212293234	141	857	1253	1108.96	1130
ERBB4_ex_4	chr2	212295644	212295847	204	709	1351	1147.87	1194
ERBB4_ex_5	chr2	212426604	212426850	247	895	1530	1329.89	1397
ERBB4_ex_6	chr2	212483874	212484009	136	822	1243	1108.45	1137.5
ERBB4_ex_7	chr2	212488614	212488802	189	928	1611	1388.48	1446
CUL3_ex	chr2	225338940	225339104	165	744	1210	1071.8	1112
CUL3_ex_2	chr2	225342895	225343098	204	871	1452	1235.23	1279.5
CUL3_ex_3	chr2	225346585	225346828	244	872	1483	1280.84	1325.5
CUL3_ex_4	chr2	225360525	225360695	171	743	1507	1252.66	1326
CUL3_ex_5	chr2	225362445	225362591	147	851	1373	1199.61	1218
CUL3_ex_6	chr2	225365045	225365224	180	809	1339	1147.63	1178.5
CUL3_ex_7	chr2	225367655	225367800	146	849	1275	1109.36	1114
CUL3_ex_8	chr2	225368335	225368547	213	712	1274	1077.44	1114
CUL3_ex_9	chr2	225370650	225370855	206	739	1335	1113.69	1141
CUL3_ex_10	chr2	225371545	225371754	210	865	1376	1180.65	1235.5
CUL3_ex_11	chr2	225376050	225376300	251	682	1185	1020.64	1062
CUL3_ex_12	chr2	225378220	225378390	171	312	1124	951.854	998
CUL3_ex_13	chr2	225379295	225379508	214	783	1411	1191.83	1233.5
CUL3_ex_14	chr2	225400220	225400397	178	801	1257	1097.73	1126.5
CUL3_ex_15	chr2	225422350	225422599	250	277	1261	957.32	1056
