#STAMP depth report v1.2
#date=Sat Feb  6 11:19:31 PST 2016
#bam=SampleC.samtools-deduped.bam
#bed=NSCLC_CLIN_OCT2014_intervals_exonic.bed
#len=130943
#min=12
#max=8890
#avg=1346.33
#med=1205
Description	Chr	Start	End	Length	Min_Depth	Max_Depth	Average_Depth	Median_Depth
GRIK3_ex	chr1	37271737	37271884	148	685	1150	967.73	988
GRIK3_ex_2	chr1	37346222	37346474	253	695	1566	1257.27	1296
MACF1_ex	chr1	39927559	39927709	151	716	1131	953.06	952
PABPC4_ex	chr1	40035524	40035667	144	704	1068	936.368	947
NT5C1A_ex	chr1	40124904	40125044	141	728	1073	935.383	949
MYCL_ex	chr1	40363259	40363431	173	609	1021	874.347	921
RLF_ex	chr1	40627119	40627271	153	679	1090	939.412	979
LRRIQ3_ex	chr1	74575056	74575253	198	668	1245	1024.56	1065.5
TGFBR3_ex	chr1	92185462	92185681	220	579	1217	980.955	1015.5
LPPR4_ex	chr1	99771257	99772585	1329	676	1441	1318.9	1355
NRAS_ex	chr1	115256398	115256631	234	668	1353	1123.05	1188.5
NRAS_ex_2	chr1	115258638	115258818	181	949	1327	1175.65	1200
TARS2_ex	chr1	150477075	150477229	155	1482	2214	1948.46	2022
MCL1_ex	chr1	150550760	150550919	160	1676	2461	2193.15	2269
CTSS_ex	chr1	150727470	150727631	162	1175	1829	1605.48	1654.5
SEMA6C_ex	chr1	151108075	151108232	158	1076	1795	1531.4	1558.5
RFX5_ex	chr1	151316185	151316324	140	1493	2188	1917.3	1957.5
LELP1_ex	chr1	153177253	153177394	142	1347	2140	1846.77	1859
S100A7_ex	chr1	153430293	153430426	134	1124	1737	1513.99	1540.5
DENND4B_ex	chr1	153907318	153907429	112	995	1361	1209.63	1226
HAX1_ex	chr1	154246270	154246346	77	1390	1681	1562.05	1568
IL6R_ex	chr1	154401715	154401878	164	897	1849	1516.47	1587
PKLR_ex	chr1	155264325	155264472	148	914	1446	1226.98	1236
SPTA1_ex	chr1	158627234	158627465	232	1353	2212	1921.08	2018.5
SPTA1_ex_2	chr1	158632484	158632728	245	1434	2589	2224.9	2333
DDR2_ex	chr1	162743224	162743417	194	1687	2574	2254.59	2323.5
DDR2_ex_2	chr1	162745419	162745656	238	1428	2374	2101.7	2205
DDR2_ex_3	chr1	162745904	162746192	289	1769	3205	2739.13	2851
DDR2_ex_4	chr1	162748334	162748548	215	1680	2754	2472.37	2605
DDR2_ex_5	chr1	162749879	162750051	173	1636	2724	2331.52	2405
TNN_ex	chr1	175086076	175086211	136	1784	2245	2094.39	2113
TNN_ex_2	chr1	175086221	175086297	77	1299	1941	1648.3	1657
TNR_ex	chr1	175372301	175372766	466	916	2459	2050.9	2228.5
ASTN1_ex	chr1	176915056	176915285	230	1142	2334	1937.85	2028
ASTN1_ex_2	chr1	177001586	177002014	429	1479	2491	2195.62	2275
BRINP3_ex	chr1	190067124	190068224	1101	1478	3192	2730.51	2793
