#STAMP depth report v1.2
#date=Sat Feb  6 11:30:58 PST 2016
#bam=SampleB.barcode-deduped.bam
#bed=NSCLC_CLIN_OCT2014_intervals_exonic.bed
#len=130725
#min=0
#max=3630
#avg=2061.74
#med=2095
Description	Chr	Start	End	Length	Min_Depth	Max_Depth	Average_Depth	Median_Depth
GRIK3_ex	chr1	37271737	37271884	148	1126	1760	1489.44	1524.5
GRIK3_ex_2	chr1	37346222	37346474	253	1494	3080	2474.11	2521
MACF1_ex	chr1	39927559	39927709	151	1100	1761	1478.84	1497
PABPC4_ex	chr1	40035524	40035667	144	1058	1531	1355.54	1381.5
NT5C1A_ex	chr1	40124904	40125044	141	1259	1816	1576.38	1597
MYCL_ex	chr1	40363259	40363431	173	886	1375	1202.33	1245
RLF_ex	chr1	40627119	40627271	153	1078	1693	1452.75	1467
LRRIQ3_ex	chr1	74575056	74575253	198	1181	2130	1768.54	1825
TGFBR3_ex	chr1	92185462	92185681	220	877	1745	1395	1440.5
LPPR4_ex	chr1	99771257	99772585	1329	1114	2685	2254.71	2318
NRAS_ex	chr1	115256398	115256631	234	1197	2375	1896.73	1947.5
NRAS_ex_2	chr1	115258638	115258818	181	1645	2569	2223.63	2275
TARS2_ex	chr1	150477075	150477229	155	1228	1896	1659.79	1692
MCL1_ex	chr1	150550760	150550919	160	1542	2249	2000.91	2040.5
CTSS_ex	chr1	150727470	150727631	162	1058	1592	1371.04	1387.5
SEMA6C_ex	chr1	151108075	151108232	158	873	1390	1218.61	1241
RFX5_ex	chr1	151316185	151316324	140	1241	1815	1594.79	1619.5
LELP1_ex	chr1	153177253	153177394	142	1045	1618	1443.08	1473
S100A7_ex	chr1	153430293	153430426	134	663	1178	1035.62	1078.5
DENND4B_ex	chr1	153907318	153907429	112	461	791	682.545	726
HAX1_ex	chr1	154246270	154246346	77	1203	1500	1400.71	1415
IL6R_ex	chr1	154401715	154401878	164	688	1339	1109.09	1156
PKLR_ex	chr1	155264325	155264472	148	670	975	843.554	865.5
SPTA1_ex	chr1	158627234	158627465	232	1062	1651	1405.84	1456
SPTA1_ex_2	chr1	158632484	158632728	245	1296	2275	1943.28	2018
DDR2_ex	chr1	162743224	162743417	194	1434	2273	1958.36	2022
DDR2_ex_2	chr1	162745419	162745656	238	1362	2242	1920.84	1991
DDR2_ex_3	chr1	162745904	162746192	289	1659	3213	2576.22	2686
DDR2_ex_4	chr1	162748334	162748548	215	1561	2634	2311.29	2377
DDR2_ex_5	chr1	162749879	162750051	173	1273	2049	1776.61	1844
TNN_ex	chr1	175086076	175086211	136	1455	1912	1767.74	1807
TNN_ex_2	chr1	175086221	175086297	77	1089	1735	1411.12	1380
TNR_ex	chr1	175372301	175372766	466	804	2305	1829.55	1954
ASTN1_ex	chr1	176915056	176915285	230	944	1847	1530.45	1566.5
ASTN1_ex_2	chr1	177001586	177002014	429	1209	2190	1824	1901
BRINP3_ex	chr1	190067124	190068224	1101	1123	3171	2565.85	2633
BRINP3_ex_2	chr1	190203479	190203619	141	967	1376	1225.89	1251
KCNT2_ex	chr1	196227340	196227582	243	1307	2516	2146.8	2264
NLRP3_ex	chr1	247587162	247588364	1203	1232	2955	2426.19	2426
NLRP3_ex_2	chr1	247588367	247588817	451	2119	3042	2599.18	2516
NLRP3_ex_3	chr1	247588817	247588895	79	1597	2212	1935.35	2001
TRIM58_ex	chr1	248039192	248039764	573	975	2803	2172.29	2389
DDX1_ex	chr2	15760345	15760498	154	1159	1789	1567.67	1608.5
MYCN_ex	chr2	16082505	16082642	138	65	178	134.891	144
ALK_ex	chr2	29416068	29416797	730	1232	3204	2559.37	2674.5
ALK_ex_2	chr2	29419608	29419751	144	1181	1786	1581.83	1626
ALK_ex_3	chr2	29420373	29420567	195	1463	2301	1992.08	2038
ALK_ex_4	chr2	29430003	29430159	157	1088	1687	1474.9	1507
ALK_ex_5	chr2	29432613	29432759	147	1320	1790	1606.13	1650
ALK_ex_6	chr2	29436818	29436971	154	1052	1569	1366.88	1387
ALK_ex_7	chr2	29443538	29443734	197	1079	1991	1619.55	1672
ALK_ex_8	chr2	29445168	29445304	137	1414	1990	1804.83	1826
ALK_ex_9	chr2	29445348	29445487	140	1018	1743	1455.32	1502.5
ALK_ex_10	chr2	29446178	29446811	634	1404	3086	2565.69	2557
ALK_ex_11	chr2	29446818	29448463	1646	1865	3343	2790.89	2777.5
SLC8A1_ex	chr2	40655614	40657081	1468	886	3010	2465.15	2594
SLC8A1_ex_2	chr2	40657084	40657440	357	1552	2882	2483.91	2587
LRRTM4_ex	chr2	77745452	77746964	1513	1265	3363	2761.66	2877
REG3A_ex	chr2	79384672	79384750	79	771	969	895.835	906
REG3A_ex_2	chr2	79384762	79384840	79	533	904	746.924	756
REG3A_ex_3	chr2	79385437	79385543	107	1209	1590	1454.54	1468
CTNNA2_ex	chr2	80085113	80085323	211	1273	2338	1918.53	1973
CTNNA2_ex_2	chr2	80101198	80101492	295	733	2022	1633.58	1733
CTNNA2_ex_3	chr2	80136708	80136972	265	705	1397	1125.82	1148
LRRTM1_ex	chr2	80529410	80530860	1451	706	3008	2295.25	2383
ST6GAL2_ex	chr2	107423111	107423415	305	1033	2437	1943.11	2038
CNTNAP5_ex	chr2	125261856	125262161	306	989	2104	1681.9	1732.5
LRP1B_ex	chr2	141242897	141243115	219	1159	2171	1791.82	1826
LRP1B_ex_2	chr2	141665412	141665650	239	707	1323	1116.11	1174
KCNJ3_ex	chr2	155711255	155711854	600	1279	2535	2213.97	2346
NFE2L2_ex	chr2	178095482	178096587	1106	1424	3213	2735.9	2793.5
NFE2L2_ex_2	chr2	178096587	178096759	173	1727	2914	2513.63	2618
NFE2L2_ex_3	chr2	178097127	178097309	183	1580	2518	2178.7	2265
NFE2L2_ex_4	chr2	178097952	178098091	140	943	1336	1187.54	1219.5
NFE2L2_ex_5	chr2	178098702	178099022	321	1050	2958	2236.81	2338
SF3B1_ex	chr2	198267256	198267583	328	507	2156	1566.56	1649
ERBB4_ex	chr2	212286709	212286845	137	1172	1584	1417.91	1445
ERBB4_ex_2	chr2	212288844	212289051	208	1278	2234	1859.38	1903.5
ERBB4_ex_3	chr2	212293094	212293234	141	1232	1698	1517.38	1556
ERBB4_ex_4	chr2	212295644	212295847	204	923	2209	1765.94	1859.5
ERBB4_ex_5	chr2	212426604	212426850	247	1276	2293	1902.89	1952
ERBB4_ex_6	chr2	212483874	212484009	136	1065	1701	1496.71	1553.5
ERBB4_ex_7	chr2	212488614	212488802	189	957	2166	1728.4	1777
CUL3_ex	chr2	225338940	225339104	165	1355	2085	1844.36	1896
CUL3_ex_2	chr2	225342895	225343098	204	1225	2157	1826.22	1898
CUL3_ex_3	chr2	225346585	225346828	244	1484	2561	2163.53	2235.5
CUL3_ex_4	chr2	225360525	225360695	171	1254	2323	1979.32	2048
CUL3_ex_5	chr2	225362445	225362591	147	1431	2228	1978.17	2061
CUL3_ex_6	chr2	225365045	225365224	180	1499	2315	1985.49	2052.5
CUL3_ex_7	chr2	225367655	225367800	146	1402	1956	1720.38	1739
CUL3_ex_8	chr2	225368335	225368547	213	1144	1990	1698.6	1766
CUL3_ex_9	chr2	225370650	225370855	206	1332	2412	1991.34	2028
CUL3_ex_10	chr2	225371545	225371754	210	1416	2195	1901.58	1969
CUL3_ex_11	chr2	225376050	225376300	251	1298	2245	1862.46	1944
CUL3_ex_12	chr2	225378220	225378390	171	945	1723	1468.54	1529
CUL3_ex_13	chr2	225379295	225379508	214	1339	2472	2047.27	2123.5
CUL3_ex_14	chr2	225400220	225400397	178	870	2119	1676.11	1771.5
CUL3_ex_15	chr2	225422350	225422599	250	286	2289	1537.16	1689.5
CUL3_ex_16	chr2	225449620	225449754	135	745	1111	963.815	965
ASB18_ex	chr2	237172815	237172971	157	1136	1688	1463.46	1492
RAF1_ex	chr3	12625987	12626199	213	1664	2751	2317.38	2401
RAF1_ex_2	chr3	12632272	12632487	216	997	2088	1722.81	1819
RAF1_ex_3	chr3	12633172	12633310	139	1409	2205	1937.81	1988
MYD88_ex	chr3	38182589	38182802	214	942	2553	2018.62	2140.5
CTNNB1_ex	chr3	41266046	41266203	158	1314	1840	1632.94	1651.5
FOXP1_ex	chr3	71015043	71015201	159	1667	2279	2052.65	2095
