Description	Chr	Start	End	Length	Min Depth	Max Depth	Average Depth
GRIK3_ex	chr1	37271737	37271884	148	685	1150	967.73
GRIK3_ex_2	chr1	37346222	37346474	253	695	1566	1257.27
MACF1_ex	chr1	39927559	39927709	151	716	1131	953.06
PABPC4_ex	chr1	40035524	40035667	144	704	1068	936.368
NT5C1A_ex	chr1	40124904	40125044	141	728	1073	935.383
MYCL_ex	chr1	40363259	40363431	173	609	1021	874.347
RLF_ex	chr1	40627119	40627271	153	679	1090	939.412
LRRIQ3_ex	chr1	74575056	74575253	198	668	1245	1024.56
TGFBR3_ex	chr1	92185462	92185681	220	579	1217	980.955
LPPR4_ex	chr1	99771257	99772585	1329	676	1441	1318.9
NRAS_ex	chr1	115256398	115256631	234	668	1353	1123.05
NRAS_ex_2	chr1	115258638	115258818	181	949	1327	1175.65
TARS2_ex	chr1	150477075	150477229	155	1482	2214	1948.46
MCL1_ex	chr1	150550760	150550919	160	1676	2461	2193.15
CTSS_ex	chr1	150727470	150727631	162	1175	1829	1605.48
SEMA6C_ex	chr1	151108075	151108232	158	1076	1795	1531.4
RFX5_ex	chr1	151316185	151316324	140	1493	2188	1917.3
LELP1_ex	chr1	153177253	153177394	142	1347	2140	1846.77
S100A7_ex	chr1	153430293	153430426	134	1124	1737	1513.99
DENND4B_ex	chr1	153907318	153907429	112	995	1361	1209.63
HAX1_ex	chr1	154246270	154246346	77	1390	1681	1562.05
IL6R_ex	chr1	154401715	154401878	164	897	1849	1516.47
PKLR_ex	chr1	155264325	155264472	148	914	1446	1226.98
SPTA1_ex	chr1	158627234	158627465	232	1353	2212	1921.08
SPTA1_ex_2	chr1	158632484	158632728	245	1434	2589	2224.9
DDR2_ex	chr1	162743224	162743417	194	1687	2574	2254.59
DDR2_ex_2	chr1	162745419	162745656	238	1428	2374	2101.7
DDR2_ex_3	chr1	162745904	162746192	289	1769	3205	2739.13
DDR2_ex_4	chr1	162748334	162748548	215	1680	2754	2472.37
DDR2_ex_5	chr1	162749879	162750051	173	1636	2724	2331.52
TNN_ex	chr1	175086076	175086211	136	1784	2245	2094.39
TNN_ex_2	chr1	175086221	175086297	77	1299	1941	1648.3
TNR_ex	chr1	175372301	175372766	466	916	2459	2050.9
ASTN1_ex	chr1	176915056	176915285	230	1142	2334	1937.85
ASTN1_ex_2	chr1	177001586	177002014	429	1479	2491	2195.62
BRINP3_ex	chr1	190067124	190068224	1101	1478	3192	2730.51
BRINP3_ex_2	chr1	190203479	190203619	141	1311	1991	1729.45
KCNT2_ex	chr1	196227340	196227582	243	1643	2916	2580.14
NLRP3_ex	chr1	247587162	247588364	1203	1471	2715	2405.33
NLRP3_ex_2	chr1	247588367	247588817	451	2260	2644	2448.74
NLRP3_ex_3	chr1	247588817	247588895	79	1780	2356	2147.68
TRIM58_ex	chr1	248039192	248039764	573	1031	2707	2208.25
DDX1_ex	chr2	15760345	15760498	154	424	614	540.351
MYCN_ex	chr2	16082505	16082642	138	40	98	70.1232
ALK_ex	chr2	29416068	29416797	730	1245	2492	2085.73
ALK_ex_2	chr2	29419608	29419751	144	979	1629	1400.97
ALK_ex_3	chr2	29420373	29420567	195	1267	1938	1686.13
ALK_ex_4	chr2	29430003	29430159	157	943	1624	1389.11
ALK_ex_5	chr2	29432613	29432759	147	1173	1751	1547.95
ALK_ex_6	chr2	29436818	29436971	154	1011	1541	1328.47
ALK_ex_7	chr2	29443538	29443734	197	959	1641	1394.69
