#STAMP depth report v1.2
#date=Sat Feb  6 11:25:52 PST 2016
#bam=HD753.samtools-deduped.bam
#bed=NSCLC_CLIN_OCT2014_intervals_exonic.bed
#len=130943
#min=80
#max=9029
#avg=2121.1
#med=2130
Description	Chr	Start	End	Length	Min_Depth	Max_Depth	Average_Depth	Median_Depth
GRIK3_ex	chr1	37271737	37271884	148	1105	1763	1531.33	1566
GRIK3_ex_2	chr1	37346222	37346474	253	1254	2863	2255.06	2318
MACF1_ex	chr1	39927559	39927709	151	1098	1787	1495.9	1506
PABPC4_ex	chr1	40035524	40035667	144	1029	1541	1365.87	1394
NT5C1A_ex	chr1	40124904	40125044	141	1266	1832	1587.31	1601
MYCL_ex	chr1	40363259	40363431	173	826	1382	1191.26	1246
RLF_ex	chr1	40627119	40627271	153	1043	1635	1408.5	1450
LRRIQ3_ex	chr1	74575056	74575253	198	1117	1904	1562.52	1613
TGFBR3_ex	chr1	92185462	92185681	220	867	1931	1525.7	1559
LPPR4_ex	chr1	99771257	99772585	1329	1077	2644	2295.07	2398
NRAS_ex	chr1	115256398	115256631	234	1164	2165	1807.41	1889.5
NRAS_ex_2	chr1	115258638	115258818	181	1452	2221	1927.9	1976
TARS2_ex	chr1	150477075	150477229	155	1587	2429	2128.97	2160
MCL1_ex	chr1	150550760	150550919	160	1352	1968	1757.57	1799.5
CTSS_ex	chr1	150727470	150727631	162	1183	1752	1534.64	1572
SEMA6C_ex	chr1	151108075	151108232	158	1137	1723	1492.59	1532.5
RFX5_ex	chr1	151316185	151316324	140	1518	2187	1935.69	1984
LELP1_ex	chr1	153177253	153177394	142	1278	2037	1770.36	1821
S100A7_ex	chr1	153430293	153430426	134	1058	1584	1385.25	1422.5
DENND4B_ex	chr1	153907318	153907429	112	800	1109	975.527	977
HAX1_ex	chr1	154246270	154246346	77	1387	1671	1566.94	1587
IL6R_ex	chr1	154401715	154401878	164	804	1548	1277.16	1333
PKLR_ex	chr1	155264325	155264472	148	861	1302	1116.63	1142.5
SPTA1_ex	chr1	158627234	158627465	232	1134	1760	1558.61	1642
SPTA1_ex_2	chr1	158632484	158632728	245	1424	2346	2022.78	2094
DDR2_ex	chr1	162743224	162743417	194	1574	2409	2085.32	2123
DDR2_ex_2	chr1	162745419	162745656	238	1415	2432	2083.07	2168
DDR2_ex_3	chr1	162745904	162746192	289	1770	3207	2620.03	2705
DDR2_ex_4	chr1	162748334	162748548	215	1644	2721	2412.98	2507
DDR2_ex_5	chr1	162749879	162750051	173	1453	2315	1992.16	2049
TNN_ex	chr1	175086076	175086211	136	1794	2227	2072.86	2097
TNN_ex_2	chr1	175086221	175086297	77	1298	1918	1615.01	1608
TNR_ex	chr1	175372301	175372766	466	871	2424	1994.43	2176
ASTN1_ex	chr1	176915056	176915285	230	1108	2102	1740.6	1791
ASTN1_ex_2	chr1	177001586	177002014	429	1228	2262	1898.38	1963
BRINP3_ex	chr1	190067124	190068224	1101	1250	3039	2534.04	2611
BRINP3_ex_2	chr1	190203479	190203619	141	1051	1544	1353.04	1373
KCNT2_ex	chr1	196227340	196227582	243	1353	2468	2154.57	2284
NLRP3_ex	chr1	247587162	247588364	1203	1333	3060	2616.66	2638
NLRP3_ex_2	chr1	247588367	247588817	451	2390	3066	2832.5	2850
NLRP3_ex_3	chr1	247588817	247588895	79	1803	2455	2180.66	2261
TRIM58_ex	chr1	248039192	248039764	573	1100	2983	2387.31	2598
DDX1_ex	chr2	15760345	15760498	154	5163	8049	6982.71	7102.5
MYCN_ex	chr2	16082505	16082642	138	375	925	734.507	772.5
ALK_ex	chr2	29416068	29416797	730	1642	3399	2872.87	2909.5
ALK_ex_2	chr2	29419608	29419751	144	1265	2028	1775.88	1815.5
ALK_ex_3	chr2	29420373	29420567	195	1682	2592	2272.98	2350
ALK_ex_4	chr2	29430003	29430159	157	1234	2105	1827.72	1888
ALK_ex_5	chr2	29432613	29432759	147	1494	2259	2001.73	2062
ALK_ex_6	chr2	29436818	29436971	154	1335	1969	1731	1784
ALK_ex_7	chr2	29443538	29443734	197	1199	2214	1845.08	1916
ALK_ex_8	chr2	29445168	29445304	137	1789	2400	2152.13	2172
ALK_ex_9	chr2	29445348	29445487	140	1262	1961	1738.75	1823
ALK_ex_10	chr2	29446178	29446811	634	1568	3209	2740.39	2723.5
ALK_ex_11	chr2	29446818	29448463	1646	2009	3471	2995.85	3008.5
SLC8A1_ex	chr2	40655614	40657081	1468	1108	2650	2241.11	2281.5
SLC8A1_ex_2	chr2	40657084	40657440	357	1526	2362	2151.31	2206
LRRTM4_ex	chr2	77745452	77746964	1513	1057	2738	2331.58	2410
REG3A_ex	chr2	79384672	79384750	79	785	1013	929.658	941
REG3A_ex_2	chr2	79384762	79384840	79	514	933	721.848	728
REG3A_ex_3	chr2	79385437	79385543	107	1218	1656	1492.72	1511
CTNNA2_ex	chr2	80085113	80085323	211	1026	2048	1658.86	1710
CTNNA2_ex_2	chr2	80101198	80101492	295	887	1845	1528.85	1581
CTNNA2_ex_3	chr2	80136708	80136972	265	791	1403	1178.78	1205
LRRTM1_ex	chr2	80529410	80530860	1451	656	2555	2016.38	2080
ST6GAL2_ex	chr2	107423111	107423415	305	954	2176	1739.89	1807
CNTNAP5_ex	chr2	125261856	125262161	306	951	2014	1582.22	1626.5
LRP1B_ex	chr2	141242897	141243115	219	988	1881	1539.9	1579
LRP1B_ex_2	chr2	141665412	141665650	239	719	1275	1081.36	1133
KCNJ3_ex	chr2	155711255	155711854	600	1134	2334	1932.5	2029
NFE2L2_ex	chr2	178095482	178096587	1106	1234	2569	2192.31	2211.5
NFE2L2_ex_2	chr2	178096587	178096759	173	1507	2144	1994.69	2067
NFE2L2_ex_3	chr2	178097127	178097309	183	1240	1992	1703.61	1756
NFE2L2_ex_4	chr2	178097952	178098091	140	777	1141	1007.87	1037.5
NFE2L2_ex_5	chr2	178098702	178099022	321	929	2343	1835.09	1930
SF3B1_ex	chr2	198267256	198267583	328	655	1763	1412.52	1440.5
ERBB4_ex	chr2	212286709	212286845	137	1027	1433	1278.15	1298
ERBB4_ex_2	chr2	212288844	212289051	208	1128	1959	1653.22	1728
ERBB4_ex_3	chr2	212293094	212293234	141	1075	1618	1414.26	1445
ERBB4_ex_4	chr2	212295644	212295847	204	1026	1942	1611.5	1660
ERBB4_ex_5	chr2	212426604	212426850	247	1149	2002	1691.72	1749
ERBB4_ex_6	chr2	212483874	212484009	136	876	1360	1193.97	1227.5
ERBB4_ex_7	chr2	212488614	212488802	189	1058	1811	1570.03	1652
CUL3_ex	chr2	225338940	225339104	165	1094	1837	1586.55	1631
CUL3_ex_2	chr2	225342895	225343098	204	1144	1954	1655.22	1727.5
