#STAMP depth report v1.2
#date=Sat Feb  6 11:17:18 PST 2016
#bam=TruQ3_146.samtools-deduped.bam
#bed=NSCLC_CLIN_OCT2014_intervals_exonic.bed
#len=130943
#min=50
#max=3768
#avg=1958.19
#med=1998
Description	Chr	Start	End	Length	Min_Depth	Max_Depth	Average_Depth	Median_Depth
GRIK3_ex	chr1	37271737	37271884	148	977	1714	1450.84	1473.5
GRIK3_ex_2	chr1	37346222	37346474	253	1334	2909	2343.15	2447
MACF1_ex	chr1	39927559	39927709	151	1044	1721	1452.23	1465
PABPC4_ex	chr1	40035524	40035667	144	1039	1541	1338.88	1359.5
NT5C1A_ex	chr1	40124904	40125044	141	1234	1778	1550.2	1565
MYCL_ex	chr1	40363259	40363431	173	842	1401	1190.78	1238
RLF_ex	chr1	40627119	40627271	153	1000	1604	1374.67	1408
LRRIQ3_ex	chr1	74575056	74575253	198	974	1787	1477.62	1515.5
TGFBR3_ex	chr1	92185462	92185681	220	748	1637	1298.13	1347
LPPR4_ex	chr1	99771257	99772585	1329	924	2394	2082.79	2160
NRAS_ex	chr1	115256398	115256631	234	955	1998	1633.81	1713.5
NRAS_ex_2	chr1	115258638	115258818	181	1417	2137	1854.76	1886
TARS2_ex	chr1	150477075	150477229	155	1062	1949	1694.61	1710
MCL1_ex	chr1	150550760	150550919	160	1201	1785	1575.66	1631
CTSS_ex	chr1	150727470	150727631	162	1003	1501	1314.86	1353
SEMA6C_ex	chr1	151108075	151108232	158	894	1438	1241.06	1265.5
RFX5_ex	chr1	151316185	151316324	140	1271	1836	1597.83	1618
LELP1_ex	chr1	153177253	153177394	142	1117	1790	1541.6	1580
S100A7_ex	chr1	153430293	153430426	134	876	1350	1177.34	1203
DENND4B_ex	chr1	153907318	153907429	112	703	972	860.973	862
HAX1_ex	chr1	154246270	154246346	77	1186	1464	1356.68	1377
IL6R_ex	chr1	154401715	154401878	164	619	1247	1009.18	1059.5
PKLR_ex	chr1	155264325	155264472	148	648	991	850.993	864.5
SPTA1_ex	chr1	158627234	158627465	232	952	1529	1308.32	1360.5
SPTA1_ex_2	chr1	158632484	158632728	245	1189	2152	1807.65	1870
DDR2_ex	chr1	162743224	162743417	194	1296	2074	1786.07	1830
DDR2_ex_2	chr1	162745419	162745656	238	1104	2025	1716.71	1782
DDR2_ex_3	chr1	162745904	162746192	289	1504	2811	2289.14	2374
DDR2_ex_4	chr1	162748334	162748548	215	1416	2489	2152.07	2231
DDR2_ex_5	chr1	162749879	162750051	173	1327	2096	1797.86	1852
TNN_ex	chr1	175086076	175086211	136	1381	1849	1701.74	1735.5
TNN_ex_2	chr1	175086221	175086297	77	1028	1569	1307.22	1299
TNR_ex	chr1	175372301	175372766	466	713	2046	1662.1	1812.5
ASTN1_ex	chr1	176915056	176915285	230	872	1728	1409.31	1460.5
ASTN1_ex_2	chr1	177001586	177002014	429	1101	2010	1702.03	1757
BRINP3_ex	chr1	190067124	190068224	1101	1062	2841	2271.73	2281
BRINP3_ex_2	chr1	190203479	190203619	141	884	1287	1132.5	1166
KCNT2_ex	chr1	196227340	196227582	243	1219	2381	2011.68	2089
NLRP3_ex	chr1	247587162	247588364	1203	1071	2409	2095.74	2123
NLRP3_ex_2	chr1	247588367	247588817	451	1830	2445	2252.95	2275
NLRP3_ex_3	chr1	247588817	247588895	79	1351	1868	1639.39	1685
TRIM58_ex	chr1	248039192	248039764	573	875	2368	1926.58	2118
DDX1_ex	chr2	15760345	15760498	154	968	1545	1335.85	1366
MYCN_ex	chr2	16082505	16082642	138	50	164	118.587	130.5
ALK_ex	chr2	29416068	29416797	730	1370	2922	2436.68	2487.5
ALK_ex_2	chr2	29419608	29419751	144	1174	1828	1598.75	1645.5
ALK_ex_3	chr2	29420373	29420567	195	1311	2170	1872.47	1939
ALK_ex_4	chr2	29430003	29430159	157	1044	1680	1467.9	1528
ALK_ex_5	chr2	29432613	29432759	147	1255	1843	1626.8	1683
ALK_ex_6	chr2	29436818	29436971	154	1041	1589	1386.33	1412.5
ALK_ex_7	chr2	29443538	29443734	197	987	1816	1494.14	1531
ALK_ex_8	chr2	29445168	29445304	137	1401	1877	1710.84	1738
ALK_ex_9	chr2	29445348	29445487	140	1044	1646	1463.29	1536
ALK_ex_10	chr2	29446178	29446811	634	1345	2684	2321.54	2354.5
ALK_ex_11	chr2	29446818	29448463	1646	1751	3124	2564.26	2580
SLC8A1_ex	chr2	40655614	40657081	1468	1100	2537	2119.25	2168.5
SLC8A1_ex_2	chr2	40657084	40657440	357	1387	2312	2037.13	2119
LRRTM4_ex	chr2	77745452	77746964	1513	1016	2882	2385.42	2459
REG3A_ex	chr2	79384672	79384750	79	688	862	792.506	807
REG3A_ex_2	chr2	79384762	79384840	79	506	801	647.797	641
REG3A_ex_3	chr2	79385437	79385543	107	1237	1643	1472.81	1485
CTNNA2_ex	chr2	80085113	80085323	211	973	2067	1646.1	1696
CTNNA2_ex_2	chr2	80101198	80101492	295	951	1790	1484.28	1526
CTNNA2_ex_3	chr2	80136708	80136972	265	702	1250	1065.78	1083
LRRTM1_ex	chr2	80529410	80530860	1451	584	2656	2075.02	2141
ST6GAL2_ex	chr2	107423111	107423415	305	961	2247	1770.59	1848
CNTNAP5_ex	chr2	125261856	125262161	306	960	1981	1572.87	1624.5
LRP1B_ex	chr2	141242897	141243115	219	1053	1923	1570.45	1594
LRP1B_ex_2	chr2	141665412	141665650	239	685	1215	1014.25	1052
KCNJ3_ex	chr2	155711255	155711854	600	1046	2344	1968.67	2111
NFE2L2_ex	chr2	178095482	178096587	1106	1212	2750	2367.2	2447
NFE2L2_ex_2	chr2	178096587	178096759	173	1526	2289	2109.38	2195
NFE2L2_ex_3	chr2	178097127	178097309	183	1119	1991	1668.11	1706
NFE2L2_ex_4	chr2	178097952	178098091	140	780	1127	993.071	1017
NFE2L2_ex_5	chr2	178098702	178099022	321	959	2496	1902.3	1981
SF3B1_ex	chr2	198267256	198267583	328	742	2004	1578.32	1640.5
ERBB4_ex	chr2	212286709	212286845	137	1067	1496	1346.99	1373
ERBB4_ex_2	chr2	212288844	212289051	208	1110	1907	1620.04	1694
ERBB4_ex_3	chr2	212293094	212293234	141	1116	1602	1418.65	1446
ERBB4_ex_4	chr2	212295644	212295847	204	1049	2115	1722.92	1781
ERBB4_ex_5	chr2	212426604	212426850	247	1151	2141	1740.43	1786
ERBB4_ex_6	chr2	212483874	212484009	136	900	1427	1253.25	1284.5
ERBB4_ex_7	chr2	212488614	212488802	189	1090	1877	1609.56	1672
CUL3_ex	chr2	225338940	225339104	165	1164	1889	1650.62	1720
CUL3_ex_2	chr2	225342895	225343098	204	1110	2008	1692.66	1761.5
CUL3_ex_3	chr2	225346585	225346828	244	1310	2285	1963.72	2043
CUL3_ex_4	chr2	225360525	225360695	171	1058	2094	1743.87	1814
CUL3_ex_5	chr2	225362445	225362591	147	1172	1980	1721.44	1783
CUL3_ex_6	chr2	225365045	225365224	180	1256	1975	1679.64	1724.5
CUL3_ex_7	chr2	225367655	225367800	146	1233	1813	1575.36	1585.5
CUL3_ex_8	chr2	225368335	225368547	213	999	1735	1481.36	1534
CUL3_ex_9	chr2	225370650	225370855	206	1126	2126	1752.33	1792.5
CUL3_ex_10	chr2	225371545	225371754	210	1219	2048	1727.08	1777
CUL3_ex_11	chr2	225376050	225376300	251	1040	2166	1711.37	1762
CUL3_ex_12	chr2	225378220	225378390	171	618	1588	1323.09	1374
CUL3_ex_13	chr2	225379295	225379508	214	1304	2276	1907.03	1990
CUL3_ex_14	chr2	225400220	225400397	178	1046	1922	1622.53	1681.5
CUL3_ex_15	chr2	225422350	225422599	250	533	2139	1645.99	1774
CUL3_ex_16	chr2	225449620	225449754	135	717	1200	1005.25	1016
ASB18_ex	chr2	237172815	237172971	157	1092	1624	1392.96	1424
RAF1_ex	chr3	12625987	12626199	213	1552	2564	2199.79	2286
RAF1_ex_2	chr3	12632272	12632487	216	1019	2034	1690.48	1765.5
RAF1_ex_3	chr3	12633172	12633310	139	1347	1974	1732.4	1764
MYD88_ex	chr3	38182589	38182802	214	847	2244	1743.01	1849.5
CTNNB1_ex	chr3	41266046	41266203	158	1216	1801	1548.67	1572
FOXP1_ex	chr3	71015043	71015201	159	1437	2071	1849.84	1909
PDZRN3_ex	chr3	73432596	73433959	1364	1110	2663	2141.9	2218
ROBO1_ex	chr3	78766421	78766566	146	916	1491	1295.13	1352
ZIC4_ex	chr3	147108706	147109059	354	625	1528	1196.75	1272
ZIC4_ex_2	chr3	147113616	147114276	661	1302	2543	1973.66	1951
ZIC1_ex	chr3	147127941	147128721	781	847	2009	1581.96	1595
ZIC1_ex_2	chr3	147128786	147128884	99	1294	1851	1618.62	1682
IQCJ_ex	chr3	158982995	158983175	181	1471	2286	1963.68	1991
MECOM_ex	chr3	168840358	168840506	149	1047	1685	1465.86	1512
MYNN_ex	chr3	169501222	169501373	152	1193	1930	1662.92	1695.5
SAMD7_ex	chr3	169646232	169646375	144	1189	1945	1677.88	1724.5
PHC3_ex	chr3	169896647	169896721	75	1379	1655	1545.99	1557
CLDN11_ex	chr3	170140951	170141100	150	1110	1790	1541.31	1612
SLC2A2_ex	chr3	170716001	170716143	143	860	1391	1194.17	1217
PIK3CA_ex	chr3	178916514	178916999	486	1360	2743	2236.96	2270
PIK3CA_ex_2	chr3	178921304	178921594	291	1359	2476	2106.22	2188
PIK3CA_ex_3	chr3	178927964	178928132	169	1129	2159	1794.22	1863
PIK3CA_ex_4	chr3	178935989	178936159	171	826	1603	1345.98	1399
PIK3CA_ex_5	chr3	178951854	178952172	319	1076	2026	1709.63	1789
SOX2_ex	chr3	181430124	181430303	180	269	1281	810.689	825.5
SOX2_ex_2	chr3	181430354	181430630	277	1155	2200	1772.41	1843
SOX2_ex_3	chr3	181430674	181430922	249	1083	1716	1448.96	1520
SOX2_ex_4	chr3	181430929	181431073	145	731	1491	1174.03	1212
ATP11B_ex	chr3	182584062	182584219	158	725	1233	1031.66	1054.5
MCCC1_ex	chr3	182733212	182733363	152	1108	1856	1581.68	1631.5
MCF2L2_ex	chr3	183014776	183014924	149	1227	1891	1647.17	1673
KLHL6_ex	chr3	183273223	183273359	137	1297	1982	1745.01	1790
HTR3E_ex	chr3	183818283	183818415	133	1484	2015	1804.18	1834
TP63_ex	chr3	189455494	189455678	185	1022	1729	1455.73	1493
TP63_ex_2	chr3	189526039	189526349	311	856	1775	1487.63	1562
TP63_ex_3	chr3	189586344	189586525	182	1176	1991	1690.87	1742.5
GABRA2_ex	chr4	46252300	46252618	319	1275	2626	2129.96	2205
FRYL_ex	chr4	48622620	48622811	192	1459	2408	2075.02	2115
PDGFRA_ex	chr4	55139671	55139926	256	1252	2136	1791.55	1859.5
PDGFRA_ex_2	chr4	55140661	55140810	150	1104	1912	1654.93	1710
PDGFRA_ex_3	chr4	55140976	55141165	190	1543	2234	1977.81	2025
