Description	Chr	Start	End	Length	Min Depth	Max Depth	Average Depth
GRIK3_ex	chr1	37271737	37271884	148	1105	1763	1531.33
GRIK3_ex_2	chr1	37346222	37346474	253	1254	2863	2255.06
MACF1_ex	chr1	39927559	39927709	151	1098	1787	1495.9
PABPC4_ex	chr1	40035524	40035667	144	1029	1541	1365.87
NT5C1A_ex	chr1	40124904	40125044	141	1266	1832	1587.31
MYCL_ex	chr1	40363259	40363431	173	826	1382	1191.26
RLF_ex	chr1	40627119	40627271	153	1043	1635	1408.5
LRRIQ3_ex	chr1	74575056	74575253	198	1117	1904	1562.52
TGFBR3_ex	chr1	92185462	92185681	220	867	1931	1525.7
LPPR4_ex	chr1	99771257	99772585	1329	1077	2644	2295.07
NRAS_ex	chr1	115256398	115256631	234	1164	2165	1807.41
NRAS_ex_2	chr1	115258638	115258818	181	1452	2221	1927.9
TARS2_ex	chr1	150477075	150477229	155	1587	2429	2128.97
MCL1_ex	chr1	150550760	150550919	160	1352	1968	1757.57
CTSS_ex	chr1	150727470	150727631	162	1183	1752	1534.64
SEMA6C_ex	chr1	151108075	151108232	158	1137	1723	1492.59
RFX5_ex	chr1	151316185	151316324	140	1518	2187	1935.69
LELP1_ex	chr1	153177253	153177394	142	1278	2037	1770.36
S100A7_ex	chr1	153430293	153430426	134	1058	1584	1385.25
DENND4B_ex	chr1	153907318	153907429	112	800	1109	975.527
HAX1_ex	chr1	154246270	154246346	77	1387	1671	1566.94
IL6R_ex	chr1	154401715	154401878	164	804	1548	1277.16
PKLR_ex	chr1	155264325	155264472	148	861	1302	1116.63
SPTA1_ex	chr1	158627234	158627465	232	1134	1760	1558.61
SPTA1_ex_2	chr1	158632484	158632728	245	1424	2346	2022.78
DDR2_ex	chr1	162743224	162743417	194	1574	2409	2085.32
DDR2_ex_2	chr1	162745419	162745656	238	1415	2432	2083.07
DDR2_ex_3	chr1	162745904	162746192	289	1770	3207	2620.03
DDR2_ex_4	chr1	162748334	162748548	215	1644	2721	2412.98
DDR2_ex_5	chr1	162749879	162750051	173	1453	2315	1992.16
TNN_ex	chr1	175086076	175086211	136	1794	2227	2072.86
TNN_ex_2	chr1	175086221	175086297	77	1298	1918	1615.01
TNR_ex	chr1	175372301	175372766	466	871	2424	1994.43
ASTN1_ex	chr1	176915056	176915285	230	1108	2102	1740.6
ASTN1_ex_2	chr1	177001586	177002014	429	1228	2262	1898.38
BRINP3_ex	chr1	190067124	190068224	1101	1250	3039	2534.04
BRINP3_ex_2	chr1	190203479	190203619	141	1051	1544	1353.04
KCNT2_ex	chr1	196227340	196227582	243	1353	2468	2154.57
NLRP3_ex	chr1	247587162	247588364	1203	1333	3060	2616.7
NLRP3_ex_2	chr1	247588367	247588817	451	2390	3066	2832.5
NLRP3_ex_3	chr1	247588817	247588895	79	1803	2455	2180.66
TRIM58_ex	chr1	248039192	248039764	573	1100	2983	2387.31
DDX1_ex	chr2	15760345	15760498	154	5163	7768	6788.17
MYCN_ex	chr2	16082505	16082642	138	375	925	734.507
ALK_ex	chr2	29416068	29416797	730	1642	3399	2872.87
ALK_ex_2	chr2	29419608	29419751	144	1265	2028	1775.88
ALK_ex_3	chr2	29420373	29420567	195	1682	2592	2272.98
ALK_ex_4	chr2	29430003	29430159	157	1234	2105	1827.72
ALK_ex_5	chr2	29432613	29432759	147	1494	2259	2001.73
ALK_ex_6	chr2	29436818	29436971	154	1335	1969	1731
ALK_ex_7	chr2	29443538	29443734	197	1199	2214	1845.08
ALK_ex_8	chr2	29445168	29445304	137	1789	2400	2152.13
ALK_ex_9	chr2	29445348	29445487	140	1262	1961	1738.75
ALK_ex_10	chr2	29446178	29446811	634	1568	3209	2740.39
ALK_ex_11	chr2	29446818	29448463	1646	2009	3471	2995.85
SLC8A1_ex	chr2	40655614	40657081	1468	1108	2650	2241.11
SLC8A1_ex_2	chr2	40657084	40657440	357	1526	2362	2151.31
LRRTM4_ex	chr2	77745452	77746964	1513	1057	2738	2331.58
REG3A_ex	chr2	79384672	79384750	79	785	1013	929.658
REG3A_ex_2	chr2	79384762	79384840	79	514	933	721.848
REG3A_ex_3	chr2	79385437	79385543	107	1218	1656	1492.72
CTNNA2_ex	chr2	80085113	80085323	211	1026	2048	1658.86
CTNNA2_ex_2	chr2	80101198	80101492	295	887	1845	1528.85
CTNNA2_ex_3	chr2	80136708	80136972	265	791	1403	1178.78
LRRTM1_ex	chr2	80529410	80530860	1451	656	2555	2016.38
ST6GAL2_ex	chr2	107423111	107423415	305	954	2176	1739.89
CNTNAP5_ex	chr2	125261856	125262161	306	951	2014	1582.22
LRP1B_ex	chr2	141242897	141243115	219	988	1881	1539.9
LRP1B_ex_2	chr2	141665412	141665650	239	719	1275	1081.36
KCNJ3_ex	chr2	155711255	155711854	600	1134	2334	1932.5
NFE2L2_ex	chr2	178095482	178096587	1106	1234	2569	2192.31
NFE2L2_ex_2	chr2	178096587	178096759	173	1507	2144	1994.69
NFE2L2_ex_3	chr2	178097127	178097309	183	1240	1992	1703.61
NFE2L2_ex_4	chr2	178097952	178098091	140	777	1141	1007.87
NFE2L2_ex_5	chr2	178098702	178099022	321	929	2343	1835.09
SF3B1_ex	chr2	198267256	198267583	328	655	1763	1412.52
ERBB4_ex	chr2	212286709	212286845	137	1027	1433	1278.15
ERBB4_ex_2	chr2	212288844	212289051	208	1128	1959	1653.22
ERBB4_ex_3	chr2	212293094	212293234	141	1075	1618	1414.26
ERBB4_ex_4	chr2	212295644	212295847	204	1026	1942	1611.5
ERBB4_ex_5	chr2	212426604	212426850	247	1149	2002	1691.72
ERBB4_ex_6	chr2	212483874	212484009	136	876	1360	1193.97
ERBB4_ex_7	chr2	212488614	212488802	189	1058	1811	1570.03
CUL3_ex	chr2	225338940	225339104	165	1094	1837	1586.55
CUL3_ex_2	chr2	225342895	225343098	204	1144	1954	1655.22
CUL3_ex_3	chr2	225346585	225346828	244	1259	2157	1851.38
CUL3_ex_4	chr2	225360525	225360695	171	1029	2106	1738.95
CUL3_ex_5	chr2	225362445	225362591	147	1148	1900	1655.09
CUL3_ex_6	chr2	225365045	225365224	180	1161	1866	1592.62
CUL3_ex_7	chr2	225367655	225367800	146	1165	1741	1526.05
CUL3_ex_8	chr2	225368335	225368547	213	1016	1759	1495.94
CUL3_ex_9	chr2	225370650	225370855	206	1137	1969	1643.37
CUL3_ex_10	chr2	225371545	225371754	210	1214	1878	1632.66
CUL3_ex_11	chr2	225376050	225376300	251	1031	1968	1580.43
CUL3_ex_12	chr2	225378220	225378390	171	515	1425	1189.4
CUL3_ex_13	chr2	225379295	225379508	214	1180	2118	1786.66
CUL3_ex_14	chr2	225400220	225400397	178	1028	1749	1501.48
CUL3_ex_15	chr2	225422350	225422599	250	408	1782	1333.7
CUL3_ex_16	chr2	225449620	225449754	135	756	1163	995.163
ASB18_ex	chr2	237172815	237172971	157	1112	1647	1424.66
RAF1_ex	chr3	12625987	12626199	213	1504	2447	2096.08
RAF1_ex_2	chr3	12632272	12632487	216	1006	1961	1635.49
RAF1_ex_3	chr3	12633172	12633310	139	1266	1967	1767.36
MYD88_ex	chr3	38182589	38182802	214	924	2378	1875.32
CTNNB1_ex	chr3	41266046	41266203	158	1129	1569	1402.82
FOXP1_ex	chr3	71015043	71015201	159	1505	2209	1951.92
PDZRN3_ex	chr3	73432596	73433959	1364	1181	2845	2226.12
ROBO1_ex	chr3	78766421	78766566	146	1028	1667	1447
ZIC4_ex	chr3	147108706	147109059	354	748	1662	1334.16
ZIC4_ex_2	chr3	147113616	147114276	661	1533	2724	2167.36
ZIC1_ex	chr3	147127941	147128721	781	920	2200	1735.81
ZIC1_ex_2	chr3	147128786	147128884	99	1423	1991	1746.1
IQCJ_ex	chr3	158982995	158983175	181	1645	2508	2172.75
MECOM_ex	chr3	168840358	168840506	149	1253	1861	1653.45
MYNN_ex	chr3	169501222	169501373	152	1402	2189	1889.55
SAMD7_ex	chr3	169646232	169646375	144	1414	2171	1898.12
PHC3_ex	chr3	169896647	169896721	75	1532	1878	1752.08
CLDN11_ex	chr3	170140951	170141100	150	1282	2056	1761.27
SLC2A2_ex	chr3	170716001	170716143	143	1055	1560	1366.21
PIK3CA_ex	chr3	178916514	178916999	486	1487	2850	2386.64
PIK3CA_ex_2	chr3	178921304	178921594	291	1524	2688	2310.36
PIK3CA_ex_3	chr3	178927964	178928132	169	1197	2287	1917.79
PIK3CA_ex_4	chr3	178935989	178936159	171	952	1711	1460.8
PIK3CA_ex_5	chr3	178951854	178952172	319	1188	2199	1860.83
SOX2_ex	chr3	181430124	181430303	180	462	1557	1056.79
SOX2_ex_2	chr3	181430354	181430630	277	1410	2559	2067.29
SOX2_ex_3	chr3	181430674	181430922	249	1281	1999	1697.35
SOX2_ex_4	chr3	181430929	181431073	145	890	1807	1384.03
ATP11B_ex	chr3	182584062	182584219	158	858	1357	1155.95
MCCC1_ex	chr3	182733212	182733363	152	1351	2083	1832.62
MCF2L2_ex	chr3	183014776	183014924	149	1478	2249	1966.58
KLHL6_ex	chr3	183273223	183273359	137	1439	2225	1940.42
HTR3E_ex	chr3	183818283	183818415	133	1656	2202	1973.08
TP63_ex	chr3	189455494	189455678	185	1229	2054	1739.43
TP63_ex_2	chr3	189526039	189526349	311	1051	2202	1794.9
TP63_ex_3	chr3	189586344	189586525	182	1317	2234	1906.51
GABRA2_ex	chr4	46252300	46252618	319	1184	2375	1923.78
FRYL_ex	chr4	48622620	48622811	192	1407	2273	1964.29
PDGFRA_ex	chr4	55139671	55139926	256	1361	2331	1969.98
PDGFRA_ex_2	chr4	55140661	55140810	150	1403	2182	1919.45
PDGFRA_ex_3	chr4	55140976	55141165	190	1652	2391	2116.15
PDGFRA_ex_4	chr4	55143521	55143671	151	1950	2842	2509.61
PDGFRA_ex_5	chr4	55144041	55144214	174	1130	1867	1589.3
PDGFRA_ex_6	chr4	55144496	55144724	229	1363	2163	1915.49
PDGFRA_ex_7	chr4	55146461	55146680	220	776	1819	1460.15
PDGFRA_ex_8	chr4	55151506	55151679	174	1536	2616	2273.99
PDGFRA_ex_9	chr4	55151986	55152174	189	1123	1769	1502.66
PDGFRA_ex_10	chr4	55153571	55153751	181	1262	2142	1822.26
PDGFRA_ex_11	chr4	55154941	55155077	137	1365	1895	1748.57
PDGFRA_ex_12	chr4	55155151	55155322	172	2122	2942	2622.04
KIT_ex	chr4	55592001	55592232	232	1380	2610	2172.34
KIT_ex_2	chr4	55593361	55593499	139	1486	2385	2107.89
KIT_ex_3	chr4	55593551	55593724	174	1670	2545	2303.56
KIT_ex_4	chr4	55593961	55594111	151	1643	2276	2088.99
KIT_ex_5	chr4	55594151	55594327	177	1584	2465	2191.99
KIT_ex_6	chr4	55595471	55595693	223	1062	1839	1563.58
KIT_ex_7	chr4	55597456	55597604	149	1052	1779	1508.56
KIT_ex_8	chr4	55598001	55598189	189	1052	2524	1924.19
KIT_ex_9	chr4	55599211	55599391	181	1025	1765	1509.39
KIT_ex_10	chr4	55602631	55602806	176	1533	2637	2305.2
KIT_ex_11	chr4	55602856	55602999	144	1339	1988	1773.29
KIT_ex_12	chr4	55603311	55603491	181	1218	1879	1678.35
KDR_ex	chr4	55955013	55955154	142	1314	1843	1651.57
KDR_ex_2	chr4	55962373	55962551	179	1239	2031	1782.64
KDR_ex_3	chr4	55964278	55964468	191	1169	1978	1694.55
FBXW7_ex	chr4	153247190	153247405	216	1077	1931	1660.87
MARCH1_ex	chr4	164534436	164534688	253	1317	2542	2067.42
TRIP13_ex	chr5	917097	917247	151	1652	2436	2134.57
NKD2_ex	chr5	1034312	1034466	155	1923	3176	2734.65
SLC6A19_ex	chr5	1216902	1217054	153	1308	2402	2055.77
TERT_ex	chr5	1295072	1295271	200	80	204	141.495
FBXL7_ex	chr5	15927993	15928621	629	1325	2624	2160.38
CDH18_ex	chr5	19473429	19473853	425	1461	2951	2479.83
CDH12_ex	chr5	21751830	21752361	532	1264	3091	2567.86
CDH12_ex_2	chr5	22078530	22078784	255	1578	3120	2565.33
CDH9_ex	chr5	26881229	26881749	521	1662	3110	2675.56
CDH9_ex_2	chr5	26906034	26906250	217	1528	2708	2260.53
CDH9_ex_3	chr5	26915729	26916048	320	1255	2602	2108.79
ADAMTS12_ex	chr5	33576138	33577189	1052	1979	3543	3160.35
ADAMTS12_ex_2	chr5	33683948	33684170	223	1209	1895	1639.85
SLC45A2_ex	chr5	33947248	33947491	244	1733	3062	2628.6
UGT3A2_ex	chr5	36037928	36038001	74	1436	1730	1641.35
UGT3A2_ex_2	chr5	36038013	36038091	79	999	1619	1366.13
SKP2_ex	chr5	36183948	36184102	155	1250	2129	1852.65
SLC1A3_ex	chr5	36679773	36679913	141	1325	2196	1902.88
NUP155_ex	chr5	37370928	37371073	146	845	1392	1208.61
EGFLAM_ex	chr5	38352293	38352437	145	1448	2142	1888.27
C9_ex	chr5	39306733	39306870	138	1511	2349	2060.2
HCN1_ex	chr5	45262028	45262905	878	1567	3098	2685.1
HCN1_ex_2	chr5	45267168	45267374	207	1506	2639	2227.7
HCN1_ex_3	chr5	45353198	45353353	156	1126	1732	1503.81
HTR1A_ex	chr5	63256324	63257490	1167	1018	2750	2180.22
HAPLN1_ex	chr5	82937302	82937528	227	609	1092	921.784
FBN2_ex	chr5	127648290	127648512	223	1411	2364	2012.02
PDGFRB_ex	chr5	149498288	149498434	147	1511	2328	2007.69
PDGFRB_ex_2	chr5	149499008	149499153	146	1519	2351	2021.88
PDGFRB_ex_3	chr5	149499553	149499723	171	1976	2936	2560.16
PDGFRB_ex_4	chr5	149500428	149500605	178	1637	2536	2199.81
PDGFRB_ex_5	chr5	149500738	149500927	190	1331	2058	1813.75
PDGFRB_ex_6	chr5	149501418	149501626	209	1412	3000	2413
PDGFRB_ex_7	chr5	149502573	149502798	226	1571	3326	2693.14
PDGFRB_ex_8	chr5	149503788	149503961	174	1694	2444	2141.61
PDGFRB_ex_9	chr5	149504258	149504418	161	614	1036	892.627
PDGFRB_ex_10	chr5	149504978	149505164	187	880	1722	1410.88
GABRA6_ex	chr5	161128482	161128768	287	1119	2401	1969.36
SLIT3_ex	chr5	168134946	168135167	222	1468	2560	2159.58
ROS1_ex	chr6	117609633	117609983	351	1082	2118	1785.28
ROS1_ex_2	chr6	117622113	117622313	201	1243	2286	1920.01
ROS1_ex_3	chr6	117629933	117630106	174	1167	2099	1801.61
ROS1_ex_4	chr6	117631223	117631463	241	1231	2067	1799.48
ROS1_ex_5	chr6	117632148	117632288	141	1236	1777	1561.82
ROS1_ex_6	chr6	117638273	117638470	198	1193	1892	1624.74
ROS1_ex_7	chr6	117639298	117639453	156	1116	1626	1442.79
ROS1_ex_8	chr6	117641008	117641428	421	1423	2818	2402.7
ROS1_ex_9	chr6	117641438	117642993	1556	906	2673	2230.85
ROS1_ex_10	chr6	117645158	117646127	970	1734	2638	2297.56
ROS1_ex_11	chr6	117647288	117648778	1491	1527	2767	2395.84
ROS1_ex_12	chr6	117648943	117650620	1678	2010	2915	2444.17
ROS1_ex_13	chr6	117657883	117658535	653	1044	2406	1984.84
PARK2_ex	chr6	161969889	161970031	143	624	869	771.937
PACRG_ex	chr6	163149267	163149420	154	996	1693	1444.77
C6orf118_ex	chr6	165715051	165715324	274	1049	2388	2000.88
C6orf118_ex_2	chr6	165715336	165715696	361	1743	2835	2515.34
HDAC9_ex	chr7	18705854	18706045	192	1251	2224	1885.73
POM121L12_ex	chr7	53103391	53104267	877	1190	2664	2071.74
VSTM2A_ex	chr7	54617611	54617769	159	908	1574	1366.57
EGFR_ex	chr7	55241591	55241759	169	1429	2177	1874.99
EGFR_ex_2	chr7	55242381	55242526	146	1473	2269	1993.86
EGFR_ex_3	chr7	55248951	55249200	250	1542	2373	2111.36
EGFR_ex_4	chr7	55259376	55259601	226	1416	2592	2197.85
EGFR_ex_5	chr7	55260416	55260574	159	1105	1790	1558.91
EGFR_ex_6	chr7	55266386	55266601	216	1513	2494	2128.82
EGFR_ex_7	chr7	55267986	55268123	138	1645	2446	2151.72
LANCL2_ex	chr7	55492961	55493101	141	1672	2596	2301.66
ZNF713_ex	chr7	55990836	55990988	153	1571	2246	1977.97
ZAN_ex	chr7	100385525	100385744	220	1710	2917	2355.59
MET_ex	chr7	116411893	116412071	179	2979	4937	4198.14
MET_ex_2	chr7	116417408	116417550	143	2811	4104	3669.45
MET_ex_3	chr7	116418808	116419051	244	2895	4742	4087.52
MET_ex_4	chr7	116422018	116422192	175	1822	2756	2425.19
MET_ex_5	chr7	116423323	116423536	214	3261	4600	4143.25
MET_ex_6	chr7	116435673	116435857	185	2023	4100	3438.05
MET_ex_7	chr7	116435918	116436202	285	2919	5189	4465.27
KCND2_ex	chr7	119914661	119915728	1068	1641	4319	3324.71
GRM8_ex	chr7	126172979	126173946	968	1250	3246	2834.09
CHRM2_ex	chr7	136699601	136701045	1445	1478	3364	2965.22
BRAF_ex	chr7	140434372	140434446	75	1153	1622	1397.13
BRAF_ex_2	chr7	140434482	140434561	80	626	1432	1010.83
BRAF_ex_3	chr7	140439682	140439757	76	709	916	846.842
BRAF_ex_4	chr7	140449052	140449119	68	1066	1343	1242.53
BRAF_ex_5	chr7	140449177	140449255	79	840	1250	1092.9
BRAF_ex_6	chr7	140453047	140453225	179	1106	1662	1488.46
BRAF_ex_7	chr7	140453937	140454069	133	1456	2237	1999.92
BRAF_ex_8	chr7	140476747	140476828	82	962	1464	1252.01
BRAF_ex_9	chr7	140476842	140476919	78	1171	1555	1430.74
BRAF_ex_10	chr7	140477762	140477913	152	1344	2294	1994.82
BRAF_ex_11	chr7	140481379	140481507	129	389	624	548.636
CNTNAP2_ex	chr7	146829378	146829605	228	1292	2302	1932.55
CSMD1_ex	chr8	2855544	2855681	138	939	1396	1230.9
SGCZ_ex	chr8	13959864	13960019	156	804	1207	1049.54
LPL_ex	chr8	19809280	19809487	208	1590	2347	2093.38
