Description	Chr	Start	End	Length	Min Depth	Max Depth	Average Depth
GRIK3_ex	chr1	37271737	37271884	148	958	1606	1366.78
GRIK3_ex_2	chr1	37346222	37346474	253	1520	3209	2602.53
MACF1_ex	chr1	39927559	39927709	151	1017	1662	1356.56
PABPC4_ex	chr1	40035524	40035667	144	1046	1494	1308.58
NT5C1A_ex	chr1	40124904	40125044	141	1222	1722	1503.96
MYCL_ex	chr1	40363259	40363431	173	823	1291	1114.75
RLF_ex	chr1	40627119	40627271	153	961	1539	1321.34
LRRIQ3_ex	chr1	74575056	74575253	198	696	1354	1127.74
TGFBR3_ex	chr1	92185462	92185681	220	766	1572	1266.61
LPPR4_ex	chr1	99771257	99772585	1329	958	2677	2223.63
NRAS_ex	chr1	115256398	115256631	234	984	1980	1621.82
NRAS_ex_2	chr1	115258638	115258818	181	1499	2159	1890.34
TARS2_ex	chr1	150477075	150477229	155	603	1516	1175.05
MCL1_ex	chr1	150550760	150550919	160	1242	1782	1566.63
CTSS_ex	chr1	150727470	150727631	162	1031	1431	1271.83
SEMA6C_ex	chr1	151108075	151108232	158	870	1350	1180.57
RFX5_ex	chr1	151316185	151316324	140	1272	1836	1602.79
LELP1_ex	chr1	153177253	153177394	142	1084	1709	1484.39
S100A7_ex	chr1	153430293	153430426	134	834	1244	1104.94
DENND4B_ex	chr1	153907318	153907429	112	423	692	611.161
HAX1_ex	chr1	154246270	154246346	77	1064	1302	1204.47
IL6R_ex	chr1	154401715	154401878	164	592	1155	946.902
PKLR_ex	chr1	155264325	155264472	148	630	920	800.851
SPTA1_ex	chr1	158627234	158627465	232	981	1517	1292.36
SPTA1_ex_2	chr1	158632484	158632728	245	1223	2244	1870.8
DDR2_ex	chr1	162743224	162743417	194	1393	2100	1828.45
DDR2_ex_2	chr1	162745419	162745656	238	1165	2070	1751.15
DDR2_ex_3	chr1	162745904	162746192	289	1642	3101	2492.89
DDR2_ex_4	chr1	162748334	162748548	215	1540	2670	2306.87
DDR2_ex_5	chr1	162749879	162750051	173	1198	2093	1781.06
TNN_ex	chr1	175086076	175086211	136	786	1617	1309.7
TNN_ex_2	chr1	175086221	175086297	77	1006	1524	1271.35
TNR_ex	chr1	175372301	175372766	466	719	2039	1650.17
ASTN1_ex	chr1	176915056	176915285	230	925	1723	1420.81
ASTN1_ex_2	chr1	177001586	177002014	429	1120	2063	1753.49
BRINP3_ex	chr1	190067124	190068224	1101	1127	3252	2556.89
BRINP3_ex_2	chr1	190203479	190203619	141	877	1252	1109.55
KCNT2_ex	chr1	196227340	196227582	243	1322	2439	2117.51
NLRP3_ex	chr1	247587162	247588364	1203	1156	2652	2273.79
NLRP3_ex_2	chr1	247588367	247588817	451	1936	2727	2488.14
NLRP3_ex_3	chr1	247588817	247588895	79	1430	1999	1729.82
TRIM58_ex	chr1	248039192	248039764	573	958	2643	2070.73
DDX1_ex	chr2	15760345	15760498	154	973	1493	1303.43
MYCN_ex	chr2	16082505	16082642	138	40	132	94.5507
ALK_ex	chr2	29416068	29416797	730	1451	3312	2664.07
ALK_ex_2	chr2	29419608	29419751	144	1202	1837	1604.44
ALK_ex_3	chr2	29420373	29420567	195	1319	2248	1926.71
ALK_ex_4	chr2	29430003	29430159	157	1070	1647	1455.27
ALK_ex_5	chr2	29432613	29432759	147	1268	1788	1603.54
ALK_ex_6	chr2	29436818	29436971	154	1013	1484	1322.81
ALK_ex_7	chr2	29443538	29443734	197	1032	1803	1486.05
ALK_ex_8	chr2	29445168	29445304	137	1285	1809	1659.09
ALK_ex_9	chr2	29445348	29445487	140	1059	1686	1463.12
ALK_ex_10	chr2	29446178	29446811	634	1437	3005	2515.9
ALK_ex_11	chr2	29446818	29448463	1646	1877	3361	2826.59
SLC8A1_ex	chr2	40655614	40657081	1468	614	2889	2272.87
SLC8A1_ex_2	chr2	40657084	40657440	357	1447	2487	2167.99
LRRTM4_ex	chr2	77745452	77746964	1513	1084	3332	2690.38
REG3A_ex	chr2	79384672	79384750	79	619	776	716.43
REG3A_ex_2	chr2	79384762	79384840	79	477	740	603.304
REG3A_ex_3	chr2	79385437	79385543	107	1211	1615	1451.75
CTNNA2_ex	chr2	80085113	80085323	211	1027	2059	1638.74
CTNNA2_ex_2	chr2	80101198	80101492	295	320	1764	1317.68
CTNNA2_ex_3	chr2	80136708	80136972	265	414	1225	959.921
LRRTM1_ex	chr2	80529410	80530860	1451	619	3016	2232.81
ST6GAL2_ex	chr2	107423111	107423415	305	1008	2303	1810.32
CNTNAP5_ex	chr2	125261856	125262161	306	1001	2046	1647.98
LRP1B_ex	chr2	141242897	141243115	219	1122	1972	1626.21
LRP1B_ex_2	chr2	141665412	141665650	239	662	1106	935.372
KCNJ3_ex	chr2	155711255	155711854	600	1080	2555	2142.44
NFE2L2_ex	chr2	178095482	178096587	1106	1174	3133	2633.93
NFE2L2_ex_2	chr2	178096587	178096759	173	1706	2592	2337.01
NFE2L2_ex_3	chr2	178097127	178097309	183	1169	1955	1660.8
NFE2L2_ex_4	chr2	178097952	178098091	140	754	1069	948.957
NFE2L2_ex_5	chr2	178098702	178099022	321	974	2686	2040.37
SF3B1_ex	chr2	198267256	198267583	328	207	2012	1438.96
ERBB4_ex	chr2	212286709	212286845	137	1090	1444	1314.69
ERBB4_ex_2	chr2	212288844	212289051	208	1158	1959	1661.49
ERBB4_ex_3	chr2	212293094	212293234	141	1117	1579	1406.97
ERBB4_ex_4	chr2	212295644	212295847	204	909	2273	1784.82
ERBB4_ex_5	chr2	212426604	212426850	247	1230	2205	1800.72
ERBB4_ex_6	chr2	212483874	212484009	136	890	1395	1230.71
ERBB4_ex_7	chr2	212488614	212488802	189	698	1845	1422.34
CUL3_ex	chr2	225338940	225339104	165	1250	1961	1713.53
CUL3_ex_2	chr2	225342895	225343098	204	1157	2066	1750.07
CUL3_ex_3	chr2	225346585	225346828	244	1396	2568	2090.91
CUL3_ex_4	chr2	225360525	225360695	171	1123	2133	1784.71
