Description	Chr	Start	End	Length	Min Depth	Max Depth	Average Depth
GRIK3_ex	chr1	37271737	37271884	148	803	1225	1063.04
GRIK3_ex_2	chr1	37346222	37346474	253	887	2071	1650.92
MACF1_ex	chr1	39927559	39927709	151	927	1526	1258.21
PABPC4_ex	chr1	40035524	40035667	144	985	1397	1234.06
NT5C1A_ex	chr1	40124904	40125044	141	946	1390	1222.7
MYCL_ex	chr1	40363259	40363431	173	736	1133	974.931
RLF_ex	chr1	40627119	40627271	153	964	1531	1315.25
LRRIQ3_ex	chr1	74575056	74575253	198	1086	2014	1661.43
TGFBR3_ex	chr1	92185462	92185681	220	752	1421	1147.52
LPPR4_ex	chr1	99771257	99772585	1329	920	2204	1959.81
NRAS_ex	chr1	115256398	115256631	234	1096	2099	1727
NRAS_ex_2	chr1	115258638	115258818	181	1565	2482	2149.74
TARS2_ex	chr1	150477075	150477229	155	1237	1731	1528.47
MCL1_ex	chr1	150550760	150550919	160	1684	2557	2257.93
CTSS_ex	chr1	150727470	150727631	162	928	1362	1200.03
SEMA6C_ex	chr1	151108075	151108232	158	764	1202	1031.4
RFX5_ex	chr1	151316185	151316324	140	1366	1944	1704.84
LELP1_ex	chr1	153177253	153177394	142	828	1403	1208.21
S100A7_ex	chr1	153430293	153430426	134	561	982	851.291
DENND4B_ex	chr1	153907318	153907429	112	582	876	765.259
HAX1_ex	chr1	154246270	154246346	77	1220	1494	1382.83
IL6R_ex	chr1	154401715	154401878	164	781	1444	1221.74
PKLR_ex	chr1	155264325	155264472	148	631	931	810.419
SPTA1_ex	chr1	158627234	158627465	232	906	1344	1164.36
SPTA1_ex_2	chr1	158632484	158632728	245	1091	1801	1542.26
DDR2_ex	chr1	162743224	162743417	194	1181	1784	1558.19
DDR2_ex_2	chr1	162745419	162745656	238	1078	1873	1578.34
DDR2_ex_3	chr1	162745904	162746192	289	1480	2702	2198.85
DDR2_ex_4	chr1	162748334	162748548	215	1491	2578	2184.44
DDR2_ex_5	chr1	162749879	162750051	173	1107	1809	1572.69
TNN_ex	chr1	175086076	175086211	136	1175	1643	1491.48
TNN_ex_2	chr1	175086221	175086297	77	962	1510	1258.53
TNR_ex	chr1	175372301	175372766	466	607	1987	1538.17
ASTN1_ex	chr1	176915056	176915285	230	853	1481	1272.54
ASTN1_ex_2	chr1	177001586	177002014	429	989	1696	1467.45
BRINP3_ex	chr1	190067124	190068224	1101	1413	3388	2754.84
BRINP3_ex_2	chr1	190203479	190203619	141	1088	1692	1482.45
KCNT2_ex	chr1	196227340	196227582	243	1368	2579	2216.3
NLRP3_ex	chr1	247587162	247588364	1203	1270	2753	2347.9
NLRP3_ex_2	chr1	247588367	247588817	451	2027	2717	2413.27
NLRP3_ex_3	chr1	247588817	247588895	79	1443	2105	1815.66
TRIM58_ex	chr1	248039192	248039764	573	901	2469	1870.73
DDX1_ex	chr2	15760345	15760498	154	982	1502	1288.57
MYCN_ex	chr2	16082505	16082642	138	56	136	102.761
ALK_ex	chr2	29416068	29416797	730	1050	2936	2294.14
ALK_ex_2	chr2	29419608	29419751	144	952	1423	1249.41
ALK_ex_3	chr2	29420373	29420567	195	1325	2116	1830.13
ALK_ex_4	chr2	29430003	29430159	157	917	1367	1220.15
ALK_ex_5	chr2	29432613	29432759	147	1128	1585	1415.22
ALK_ex_6	chr2	29436818	29436971	154	904	1303	1143.79
ALK_ex_7	chr2	29443538	29443734	197	818	1350	1156.69
ALK_ex_8	chr2	29445168	29445304	137	1035	1514	1369.7
ALK_ex_9	chr2	29445348	29445487	140	914	1408	1215.15
ALK_ex_10	chr2	29446178	29446811	634	1201	2160	1924.42
ALK_ex_11	chr2	29446818	29448463	1646	1253	2326	1993.49
SLC8A1_ex	chr2	40655614	40657081	1468	924	2487	2034.73
SLC8A1_ex_2	chr2	40657084	40657440	357	1258	2166	1903.81
LRRTM4_ex	chr2	77745452	77746964	1513	1262	3210	2617.13
REG3A_ex	chr2	79384672	79384750	79	595	765	703.38
REG3A_ex_2	chr2	79384762	79384840	79	431	700	585.456
REG3A_ex_3	chr2	79385437	79385543	107	1061	1402	1286.17
CTNNA2_ex	chr2	80085113	80085323	211	1000	1997	1614.48
CTNNA2_ex_2	chr2	80101198	80101492	295	687	1886	1528.69
CTNNA2_ex_3	chr2	80136708	80136972	265	599	1247	1022.93
LRRTM1_ex	chr2	80529410	80530860	1451	609	2342	1816.63
ST6GAL2_ex	chr2	107423111	107423415	305	782	2004	1588.49
CNTNAP5_ex	chr2	125261856	125262161	306	926	1826	1505.02
LRP1B_ex	chr2	141242897	141243115	219	1210	2325	1882.53
LRP1B_ex_2	chr2	141665412	141665650	239	766	1346	1151.53
KCNJ3_ex	chr2	155711255	155711854	600	1156	2574	2187.14
NFE2L2_ex	chr2	178095482	178096587	1106	1450	3254	2730.43
NFE2L2_ex_2	chr2	178096587	178096759	173	1660	2854	2457.97
NFE2L2_ex_3	chr2	178097127	178097309	183	1453	2417	2042.51
NFE2L2_ex_4	chr2	178097952	178098091	140	942	1321	1160.49
NFE2L2_ex_5	chr2	178098702	178099022	321	991	2912	2229.1
SF3B1_ex	chr2	198267256	198267583	328	456	2049	1406.89
ERBB4_ex	chr2	212286709	212286845	137	1149	1634	1466.45
ERBB4_ex_2	chr2	212288844	212289051	208	1217	2161	1818.56
ERBB4_ex_3	chr2	212293094	212293234	141	1273	1713	1536.59
ERBB4_ex_4	chr2	212295644	212295847	204	818	1952	1601.91
ERBB4_ex_5	chr2	212426604	212426850	247	1266	2242	1892.64
ERBB4_ex_6	chr2	212483874	212484009	136	1035	1560	1400.04
ERBB4_ex_7	chr2	212488614	212488802	189	1050	2250	1830.83
CUL3_ex	chr2	225338940	225339104	165	1107	1685	1470.47
CUL3_ex_2	chr2	225342895	225343098	204	1253	2132	1789.82
CUL3_ex_3	chr2	225346585	225346828	244	1306	2162	1870.34
CUL3_ex_4	chr2	225360525	225360695	171	1160	2219	1872.38
CUL3_ex_5	chr2	225362445	225362591	147	1319	2029	1791.17
CUL3_ex_6	chr2	225365045	225365224	180	1264	2019	1721.18
CUL3_ex_7	chr2	225367655	225367800	146	1188	1808	1575.68
CUL3_ex_8	chr2	225368335	225368547	213	1021	1795	1511.2
CUL3_ex_9	chr2	225370650	225370855	206	1085	1931	1630.19
CUL3_ex_10	chr2	225371545	225371754	210	1211	2003	1676.5
CUL3_ex_11	chr2	225376050	225376300	251	983	1853	1521.64
CUL3_ex_12	chr2	225378220	225378390	171	355	1306	1023.78
CUL3_ex_13	chr2	225379295	225379508	214	1165	2168	1790.62
CUL3_ex_14	chr2	225400220	225400397	178	687	1733	1344.42
CUL3_ex_15	chr2	225422350	225422599	250	222	1919	1309.44
CUL3_ex_16	chr2	225449620	225449754	135	826	1207	1034.12
ASB18_ex	chr2	237172815	237172971	157	838	1287	1075.66
RAF1_ex	chr3	12625987	12626199	213	1278	1933	1695.3
RAF1_ex_2	chr3	12632272	12632487	216	758	1552	1266.74
RAF1_ex_3	chr3	12633172	12633310	139	1088	1746	1542.12
MYD88_ex	chr3	38182589	38182802	214	958	2265	1807.67
CTNNB1_ex	chr3	41266046	41266203	158	1001	1479	1264.22
FOXP1_ex	chr3	71015043	71015201	159	1374	1835	1668.74
