#STAMP depth report v1.2
#date=Sat Feb  6 11:21:32 PST 2016
#bam=SampleB.samtools-deduped.bam
#bed=NSCLC_CLIN_OCT2014_intervals_exonic.bed
#len=130943
#min=60
#max=2650
#avg=1709.73
#med=1767
Description	Chr	Start	End	Length	Min_Depth	Max_Depth	Average_Depth	Median_Depth
GRIK3_ex	chr1	37271737	37271884	148	1003	1702	1439.89	1484.5
GRIK3_ex_2	chr1	37346222	37346474	253	1214	2451	2007.73	2072
MACF1_ex	chr1	39927559	39927709	151	995	1645	1381.73	1394
PABPC4_ex	chr1	40035524	40035667	144	946	1403	1225.78	1245
NT5C1A_ex	chr1	40124904	40125044	141	1110	1658	1437.33	1461
MYCL_ex	chr1	40363259	40363431	173	831	1337	1147.21	1179
RLF_ex	chr1	40627119	40627271	153	1013	1573	1369.21	1407
LRRIQ3_ex	chr1	74575056	74575253	198	1040	1767	1485.64	1538.5
TGFBR3_ex	chr1	92185462	92185681	220	798	1563	1251.4	1271
LPPR4_ex	chr1	99771257	99772585	1329	959	2092	1843.66	1883
NRAS_ex	chr1	115256398	115256631	234	1023	1941	1588.02	1638
NRAS_ex_2	chr1	115258638	115258818	181	1369	2115	1834.28	1878
TARS2_ex	chr1	150477075	150477229	155	1169	1782	1569.65	1618
MCL1_ex	chr1	150550760	150550919	160	1313	1910	1704.65	1752
CTSS_ex	chr1	150727470	150727631	162	942	1450	1248.52	1277.5
SEMA6C_ex	chr1	151108075	151108232	158	832	1327	1150.41	1170.5
RFX5_ex	chr1	151316185	151316324	140	1122	1643	1446.15	1481
LELP1_ex	chr1	153177253	153177394	142	1011	1615	1419.86	1445.5
S100A7_ex	chr1	153430293	153430426	134	871	1240	1095.26	1114
DENND4B_ex	chr1	153907318	153907429	112	703	949	846.312	857
HAX1_ex	chr1	154246270	154246346	77	1120	1415	1316.82	1332
IL6R_ex	chr1	154401715	154401878	164	636	1314	1086.21	1132
PKLR_ex	chr1	155264325	155264472	148	655	998	851.514	877.5
SPTA1_ex	chr1	158627234	158627465	232	970	1453	1270.72	1326
SPTA1_ex_2	chr1	158632484	158632728	245	1126	1941	1666.58	1736
DDR2_ex	chr1	162743224	162743417	194	1217	1907	1661.18	1713.5
DDR2_ex_2	chr1	162745419	162745656	238	1120	1833	1602.69	1682
DDR2_ex_3	chr1	162745904	162746192	289	1314	2377	1989.79	2069
DDR2_ex_4	chr1	162748334	162748548	215	1253	2111	1869.83	1942
DDR2_ex_5	chr1	162749879	162750051	173	1247	1885	1644.58	1684
TNN_ex	chr1	175086076	175086211	136	1363	1746	1638.51	1666
TNN_ex_2	chr1	175086221	175086297	77	949	1488	1221.05	1208
TNR_ex	chr1	175372301	175372766	466	722	1896	1560.12	1661
ASTN1_ex	chr1	176915056	176915285	230	824	1722	1398.63	1426.5
ASTN1_ex_2	chr1	177001586	177002014	429	1062	1834	1574.35	1621
BRINP3_ex	chr1	190067124	190068224	1101	957	2354	2008.07	2079
BRINP3_ex_2	chr1	190203479	190203619	141	868	1303	1150.16	1175
KCNT2_ex	chr1	196227340	196227582	243	1125	2055	1786.21	1889
NLRP3_ex	chr1	247587162	247588364	1203	1072	2297	1959.74	1969
NLRP3_ex_2	chr1	247588367	247588817	451	1784	2307	2049.56	2016
NLRP3_ex_3	chr1	247588817	247588895	79	1389	1863	1655.72	1698
TRIM58_ex	chr1	248039192	248039764	573	804	2195	1743.15	1899
DDX1_ex	chr2	15760345	15760498	154	1012	1551	1365.31	1399.5
MYCN_ex	chr2	16082505	16082642	138	79	198	151.58	158.5
ALK_ex	chr2	29416068	29416797	730	1132	2420	2064.36	2114
ALK_ex_2	chr2	29419608	29419751	144	1031	1581	1398.08	1434
ALK_ex_3	chr2	29420373	29420567	195	1292	1945	1697.79	1755
ALK_ex_4	chr2	29430003	29430159	157	954	1525	1335.1	1369
ALK_ex_5	chr2	29432613	29432759	147	1167	1662	1479.22	1523
ALK_ex_6	chr2	29436818	29436971	154	968	1487	1283.41	1311
ALK_ex_7	chr2	29443538	29443734	197	972	1749	1458.36	1510
ALK_ex_8	chr2	29445168	29445304	137	1357	1804	1642.58	1666
ALK_ex_9	chr2	29445348	29445487	140	927	1471	1304.66	1370
ALK_ex_10	chr2	29446178	29446811	634	1156	2340	2013.19	2020
ALK_ex_11	chr2	29446818	29448463	1646	1585	2499	2180.31	2183
SLC8A1_ex	chr2	40655614	40657081	1468	1109	2364	1967.57	1992
SLC8A1_ex_2	chr2	40657084	40657440	357	1266	2229	1955.31	2005
LRRTM4_ex	chr2	77745452	77746964	1513	1064	2409	2086.28	2122
REG3A_ex	chr2	79384672	79384750	79	770	979	907.241	919
REG3A_ex_2	chr2	79384762	79384840	79	540	889	743.797	753
REG3A_ex_3	chr2	79385437	79385543	107	1135	1515	1381.07	1401
CTNNA2_ex	chr2	80085113	80085323	211	1071	1977	1642.94	1700
CTNNA2_ex_2	chr2	80101198	80101492	295	791	1699	1419.72	1488
CTNNA2_ex_3	chr2	80136708	80136972	265	709	1293	1067.68	1079
LRRTM1_ex	chr2	80529410	80530860	1451	615	2421	1868.4	1908
ST6GAL2_ex	chr2	107423111	107423415	305	871	2021	1625.13	1717
CNTNAP5_ex	chr2	125261856	125262161	306	876	1854	1470.19	1511
LRP1B_ex	chr2	141242897	141243115	219	961	1817	1506.64	1541
LRP1B_ex_2	chr2	141665412	141665650	239	694	1236	1054.98	1110
KCNJ3_ex	chr2	155711255	155711854	600	1089	1992	1766.74	1837
NFE2L2_ex	chr2	178095482	178096587	1106	1197	2363	2091.17	2118.5
NFE2L2_ex_2	chr2	178096587	178096759	173	1354	2172	1966.3	2069
NFE2L2_ex_3	chr2	178097127	178097309	183	1288	2118	1812.17	1888
NFE2L2_ex_4	chr2	178097952	178098091	140	841	1267	1117.51	1155
NFE2L2_ex_5	chr2	178098702	178099022	321	929	2329	1803.4	1859
SF3B1_ex	chr2	198267256	198267583	328	671	1817	1417.85	1482
ERBB4_ex	chr2	212286709	212286845	137	1003	1414	1251.45	1270
ERBB4_ex_2	chr2	212288844	212289051	208	1027	1840	1528.83	1589.5
ERBB4_ex_3	chr2	212293094	212293234	141	1067	1563	1390.38	1431
ERBB4_ex_4	chr2	212295644	212295847	204	1010	1882	1577.64	1629
ERBB4_ex_5	chr2	212426604	212426850	247	1076	1878	1583.58	1625
ERBB4_ex_6	chr2	212483874	212484009	136	921	1468	1286.4	1313.5
ERBB4_ex_7	chr2	212488614	212488802	189	1004	1793	1541.2	1620
CUL3_ex	chr2	225338940	225339104	165	1109	1807	1576.08	1611
CUL3_ex_2	chr2	225342895	225343098	204	1058	1869	1572.43	1642.5
CUL3_ex_3	chr2	225346585	225346828	244	1236	2051	1770.53	1847.5
CUL3_ex_4	chr2	225360525	225360695	171	1016	1965	1674.44	1759
CUL3_ex_5	chr2	225362445	225362591	147	1170	1883	1662.32	1730
CUL3_ex_6	chr2	225365045	225365224	180	1218	1921	1650.51	1714.5
CUL3_ex_7	chr2	225367655	225367800	146	1141	1684	1471.04	1497.5
CUL3_ex_8	chr2	225368335	225368547	213	955	1651	1417.63	1476
CUL3_ex_9	chr2	225370650	225370855	206	1047	1927	1608.49	1649
CUL3_ex_10	chr2	225371545	225371754	210	1143	1885	1609.65	1649
CUL3_ex_11	chr2	225376050	225376300	251	1054	1840	1541.06	1599
CUL3_ex_12	chr2	225378220	225378390	171	837	1537	1302.26	1352
CUL3_ex_13	chr2	225379295	225379508	214	1055	1966	1624.55	1672.5
CUL3_ex_14	chr2	225400220	225400397	178	1126	1844	1587.15	1623.5
