#STAMP depth report v1.2
#date=Sat Feb  6 11:34:24 PST 2016
#bam=HD753.barcode-deduped.bam
#bed=NSCLC_CLIN_OCT2014_intervals_exonic.bed
#len=130725
#min=0
#max=10079
#avg=2353.03
#med=2331
Description	Chr	Start	End	Length	Min_Depth	Max_Depth	Average_Depth	Median_Depth
GRIK3_ex	chr1	37271737	37271884	148	1144	1745	1517.7	1541.5
GRIK3_ex_2	chr1	37346222	37346474	253	1461	3359	2652.19	2712
MACF1_ex	chr1	39927559	39927709	151	1106	1781	1478.6	1474
PABPC4_ex	chr1	40035524	40035667	144	1073	1571	1406.72	1438.5
NT5C1A_ex	chr1	40124904	40125044	141	1358	1950	1689.62	1707
MYCL_ex	chr1	40363259	40363431	173	826	1325	1152.29	1200
RLF_ex	chr1	40627119	40627271	153	1035	1627	1405.42	1443
LRRIQ3_ex	chr1	74575056	74575253	198	870	1664	1367.65	1421
TGFBR3_ex	chr1	92185462	92185681	220	943	1968	1572.43	1606
LPPR4_ex	chr1	99771257	99772585	1329	1143	3075	2604.32	2716
NRAS_ex	chr1	115256398	115256631	234	1268	2373	1951.82	2019
NRAS_ex_2	chr1	115258638	115258818	181	1589	2521	2167.35	2206
TARS2_ex	chr1	150477075	150477229	155	1308	2292	1935.57	2048
MCL1_ex	chr1	150550760	150550919	160	1421	2100	1872.64	1919
CTSS_ex	chr1	150727470	150727631	162	1208	1718	1517.78	1551.5
SEMA6C_ex	chr1	151108075	151108232	158	1130	1660	1454.05	1487.5
RFX5_ex	chr1	151316185	151316324	140	1608	2234	1982.23	2021.5
LELP1_ex	chr1	153177253	153177394	142	1294	2032	1776.3	1804
S100A7_ex	chr1	153430293	153430426	134	1018	1463	1290.47	1322.5
DENND4B_ex	chr1	153907318	153907429	112	555	854	765.714	801.5
HAX1_ex	chr1	154246270	154246346	77	1255	1507	1414.61	1424
IL6R_ex	chr1	154401715	154401878	164	786	1496	1246.73	1316.5
PKLR_ex	chr1	155264325	155264472	148	831	1232	1068.5	1086.5
SPTA1_ex	chr1	158627234	158627465	232	1183	1800	1579.28	1650
SPTA1_ex_2	chr1	158632484	158632728	245	1553	2551	2188.57	2262
DDR2_ex	chr1	162743224	162743417	194	1713	2643	2255.76	2280
DDR2_ex_2	chr1	162745419	162745656	238	1538	2568	2192.36	2263.5
DDR2_ex_3	chr1	162745904	162746192	289	2081	3869	3081.96	3150
DDR2_ex_4	chr1	162748334	162748548	215	1848	3009	2636.99	2717
DDR2_ex_5	chr1	162749879	162750051	173	1426	2310	2004.32	2086
TNN_ex	chr1	175086076	175086211	136	1363	2159	1877.29	1942.5
TNN_ex_2	chr1	175086221	175086297	77	1354	2050	1723.81	1711
TNR_ex	chr1	175372301	175372766	466	903	2711	2162.02	2344.5
ASTN1_ex	chr1	176915056	176915285	230	1199	2157	1804.28	1847.5
ASTN1_ex_2	chr1	177001586	177002014	429	1290	2473	2046.2	2120
BRINP3_ex	chr1	190067124	190068224	1101	1451	3709	2982.19	3041
BRINP3_ex_2	chr1	190203479	190203619	141	1067	1523	1350.22	1376
KCNT2_ex	chr1	196227340	196227582	243	1510	2732	2398.82	2535
NLRP3_ex	chr1	247587162	247588364	1203	1435	3516	2983.94	3012
NLRP3_ex_2	chr1	247588367	247588817	451	2635	3678	3309.28	3329
NLRP3_ex_3	chr1	247588817	247588895	79	1980	2751	2411.23	2505
TRIM58_ex	chr1	248039192	248039764	573	1232	3430	2696.12	2946
DDX1_ex	chr2	15760345	15760498	154	5681	8624	7524.69	7654.5
MYCN_ex	chr2	16082505	16082642	138	321	779	615.029	654
ALK_ex	chr2	29416068	29416797	730	1624	4061	3311.37	3419
ALK_ex_2	chr2	29419608	29419751	144	1315	2135	1865.14	1928.5
ALK_ex_3	chr2	29420373	29420567	195	1740	2762	2386.22	2435
ALK_ex_4	chr2	29430003	29430159	157	1260	2165	1879.43	1943
ALK_ex_5	chr2	29432613	29432759	147	1626	2412	2123.95	2170
ALK_ex_6	chr2	29436818	29436971	154	1327	1933	1719.69	1764.5
ALK_ex_7	chr2	29443538	29443734	197	1280	2280	1895.25	1942
ALK_ex_8	chr2	29445168	29445304	137	1786	2473	2243.69	2272
ALK_ex_9	chr2	29445348	29445487	140	1273	2164	1822.31	1880
ALK_ex_10	chr2	29446178	29446811	634	1746	3942	3248.63	3210
ALK_ex_11	chr2	29446818	29448463	1646	2168	4161	3477.11	3491.5
SLC8A1_ex	chr2	40655614	40657081	1468	733	3217	2551.29	2632
SLC8A1_ex_2	chr2	40657084	40657440	357	1664	2789	2422.79	2531
LRRTM4_ex	chr2	77745452	77746964	1513	1233	3368	2781.27	2890
REG3A_ex	chr2	79384672	79384750	79	749	938	867.797	885
REG3A_ex_2	chr2	79384762	79384840	79	505	883	692.063	694
