#STAMP depth report v1.2
#date=Sat Feb  6 11:27:45 PST 2016
#bam=TruQ3_146.barcode-deduped.bam
#bed=NSCLC_CLIN_OCT2014_intervals_exonic.bed
#len=130725
#min=0
#max=4142
#avg=2049.27
#med=2071
Description	Chr	Start	End	Length	Min_Depth	Max_Depth	Average_Depth	Median_Depth
GRIK3_ex	chr1	37271737	37271884	148	958	1606	1366.78	1385.5
GRIK3_ex_2	chr1	37346222	37346474	253	1520	3209	2602.53	2696
MACF1_ex	chr1	39927559	39927709	151	1017	1662	1356.56	1371
PABPC4_ex	chr1	40035524	40035667	144	1046	1494	1308.58	1333
NT5C1A_ex	chr1	40124904	40125044	141	1222	1722	1503.96	1514
MYCL_ex	chr1	40363259	40363431	173	823	1291	1114.75	1171
RLF_ex	chr1	40627119	40627271	153	961	1539	1321.34	1344
LRRIQ3_ex	chr1	74575056	74575253	198	696	1354	1127.74	1180.5
TGFBR3_ex	chr1	92185462	92185681	220	766	1572	1266.61	1303.5
LPPR4_ex	chr1	99771257	99772585	1329	958	2677	2223.63	2307
NRAS_ex	chr1	115256398	115256631	234	984	1980	1621.82	1684
NRAS_ex_2	chr1	115258638	115258818	181	1499	2159	1890.34	1906
TARS2_ex	chr1	150477075	150477229	155	603	1516	1175.05	1278
MCL1_ex	chr1	150550760	150550919	160	1242	1782	1566.63	1610.5
CTSS_ex	chr1	150727470	150727631	162	1031	1431	1271.83	1294.5
SEMA6C_ex	chr1	151108075	151108232	158	870	1350	1180.57	1188.5
RFX5_ex	chr1	151316185	151316324	140	1272	1836	1602.79	1623
LELP1_ex	chr1	153177253	153177394	142	1084	1709	1484.39	1522
S100A7_ex	chr1	153430293	153430426	134	834	1244	1104.94	1132.5
DENND4B_ex	chr1	153907318	153907429	112	423	692	611.161	646.5
HAX1_ex	chr1	154246270	154246346	77	1064	1302	1204.47	1214
IL6R_ex	chr1	154401715	154401878	164	592	1155	946.902	996
PKLR_ex	chr1	155264325	155264472	148	630	920	800.851	826
SPTA1_ex	chr1	158627234	158627465	232	981	1517	1292.36	1329.5
SPTA1_ex_2	chr1	158632484	158632728	245	1223	2244	1870.8	1937
DDR2_ex	chr1	162743224	162743417	194	1393	2100	1828.45	1884.5
DDR2_ex_2	chr1	162745419	162745656	238	1165	2070	1751.15	1796.5
DDR2_ex_3	chr1	162745904	162746192	289	1642	3101	2492.89	2565
DDR2_ex_4	chr1	162748334	162748548	215	1540	2670	2306.87	2382
DDR2_ex_5	chr1	162749879	162750051	173	1198	2093	1781.06	1848
TNN_ex	chr1	175086076	175086211	136	786	1617	1309.7	1368
TNN_ex_2	chr1	175086221	175086297	77	1006	1524	1271.35	1246
TNR_ex	chr1	175372301	175372766	466	719	2039	1650.17	1791.5
ASTN1_ex	chr1	176915056	176915285	230	925	1723	1420.81	1476
ASTN1_ex_2	chr1	177001586	177002014	429	1120	2063	1753.49	1821
BRINP3_ex	chr1	190067124	190068224	1101	1127	3252	2556.89	2598
BRINP3_ex_2	chr1	190203479	190203619	141	877	1252	1109.55	1130
KCNT2_ex	chr1	196227340	196227582	243	1322	2439	2117.51	2216
NLRP3_ex	chr1	247587162	247588364	1203	1156	2652	2273.79	2304
NLRP3_ex_2	chr1	247588367	247588817	451	1936	2727	2488.14	2528
NLRP3_ex_3	chr1	247588817	247588895	79	1430	1999	1729.82	1755
TRIM58_ex	chr1	248039192	248039764	573	958	2643	2070.73	2235
DDX1_ex	chr2	15760345	15760498	154	973	1493	1303.43	1316.5
MYCN_ex	chr2	16082505	16082642	138	40	132	94.5507	103
ALK_ex	chr2	29416068	29416797	730	1451	3312	2664.07	2748
ALK_ex_2	chr2	29419608	29419751	144	1202	1837	1604.44	1643
ALK_ex_3	chr2	29420373	29420567	195	1319	2248	1926.71	2002
ALK_ex_4	chr2	29430003	29430159	157	1070	1647	1455.27	1495
ALK_ex_5	chr2	29432613	29432759	147	1268	1788	1603.54	1643
ALK_ex_6	chr2	29436818	29436971	154	1013	1484	1322.81	1341.5
ALK_ex_7	chr2	29443538	29443734	197	1032	1803	1486.05	1515
ALK_ex_8	chr2	29445168	29445304	137	1285	1809	1659.09	1691
ALK_ex_9	chr2	29445348	29445487	140	1059	1686	1463.12	1514
ALK_ex_10	chr2	29446178	29446811	634	1437	3005	2515.9	2510.5
ALK_ex_11	chr2	29446818	29448463	1646	1877	3361	2826.59	2840.5
SLC8A1_ex	chr2	40655614	40657081	1468	614	2889	2272.87	2355
SLC8A1_ex_2	chr2	40657084	40657440	357	1447	2487	2167.99	2264
LRRTM4_ex	chr2	77745452	77746964	1513	1084	3332	2690.38	2790
REG3A_ex	chr2	79384672	79384750	79	619	776	716.43	727
REG3A_ex_2	chr2	79384762	79384840	79	477	740	603.304	603
REG3A_ex_3	chr2	79385437	79385543	107	1211	1615	1451.75	1465
CTNNA2_ex	chr2	80085113	80085323	211	1027	2059	1638.74	1664
CTNNA2_ex_2	chr2	80101198	80101492	295	320	1764	1317.68	1476
CTNNA2_ex_3	chr2	80136708	80136972	265	414	1225	959.921	1012
LRRTM1_ex	chr2	80529410	80530860	1451	619	3016	2232.81	2292
ST6GAL2_ex	chr2	107423111	107423415	305	1008	2303	1810.32	1869
CNTNAP5_ex	chr2	125261856	125262161	306	1001	2046	1647.98	1698
LRP1B_ex	chr2	141242897	141243115	219	1122	1972	1626.21	1659
LRP1B_ex_2	chr2	141665412	141665650	239	662	1106	935.372	971
KCNJ3_ex	chr2	155711255	155711854	600	1080	2555	2142.44	2318.5
NFE2L2_ex	chr2	178095482	178096587	1106	1174	3133	2633.93	2743.5
NFE2L2_ex_2	chr2	178096587	178096759	173	1706	2592	2337.01	2406
NFE2L2_ex_3	chr2	178097127	178097309	183	1169	1955	1660.8	1704
NFE2L2_ex_4	chr2	178097952	178098091	140	754	1069	948.957	967
NFE2L2_ex_5	chr2	178098702	178099022	321	974	2686	2040.37	2165
SF3B1_ex	chr2	198267256	198267583	328	207	2012	1438.96	1584
ERBB4_ex	chr2	212286709	212286845	137	1090	1444	1314.69	1333
ERBB4_ex_2	chr2	212288844	212289051	208	1158	1959	1661.49	1729
ERBB4_ex_3	chr2	212293094	212293234	141	1117	1579	1406.97	1425
ERBB4_ex_4	chr2	212295644	212295847	204	909	2273	1784.82	1870.5
ERBB4_ex_5	chr2	212426604	212426850	247	1230	2205	1800.72	1846
ERBB4_ex_6	chr2	212483874	212484009	136	890	1395	1230.71	1261.5
ERBB4_ex_7	chr2	212488614	212488802	189	698	1845	1422.34	1490
CUL3_ex	chr2	225338940	225339104	165	1250	1961	1713.53	1764
CUL3_ex_2	chr2	225342895	225343098	204	1157	2066	1750.07	1810.5
CUL3_ex_3	chr2	225346585	225346828	244	1396	2568	2090.91	2138.5
CUL3_ex_4	chr2	225360525	225360695	171	1123	2133	1784.71	1850
CUL3_ex_5	chr2	225362445	225362591	147	1310	2036	1783.48	1838
CUL3_ex_6	chr2	225365045	225365224	180	1252	1988	1699.14	1724
CUL3_ex_7	chr2	225367655	225367800	146	1269	1832	1606.6	1619.5
CUL3_ex_8	chr2	225368335	225368547	213	1032	1804	1526.08	1556
CUL3_ex_9	chr2	225370650	225370855	206	1194	2248	1827.74	1868.5
CUL3_ex_10	chr2	225371545	225371754	210	1335	2183	1848.15	1904
CUL3_ex_11	chr2	225376050	225376300	251	1134	2225	1775.35	1832
CUL3_ex_12	chr2	225378220	225378390	171	550	1217	1012.4	1078
CUL3_ex_13	chr2	225379295	225379508	214	1426	2420	2036.07	2110
CUL3_ex_14	chr2	225400220	225400397	178	811	1874	1516.78	1603
CUL3_ex_15	chr2	225422350	225422599	250	214	2328	1551.53	1701.5
CUL3_ex_16	chr2	225449620	225449754	135	690	1073	915.859	927
ASB18_ex	chr2	237172815	237172971	157	1101	1597	1382.38	1418
RAF1_ex	chr3	12625987	12626199	213	1719	2704	2334.67	2429
RAF1_ex_2	chr3	12632272	12632487	216	1038	2084	1726.53	1818
RAF1_ex_3	chr3	12633172	12633310	139	1405	2020	1774.58	1822
MYD88_ex	chr3	38182589	38182802	214	919	2285	1800.47	1919
CTNNB1_ex	chr3	41266046	41266203	158	1057	1409	1253.94	1268.5
FOXP1_ex	chr3	71015043	71015201	159	1486	2153	1909.72	1959
PDZRN3_ex	chr3	73432596	73433959	1364	1116	2898	2284.47	2397
ROBO1_ex	chr3	78766421	78766566	146	949	1496	1297.11	1355
ZIC4_ex	chr3	147108706	147109059	354	658	1512	1174.33	1230
ZIC4_ex_2	chr3	147113616	147114276	661	1342	2755	2063.94	1980
ZIC1_ex	chr3	147127941	147128721	781	785	2109	1597.02	1563
ZIC1_ex_2	chr3	147128786	147128884	99	1339	1891	1629.82	1686
IQCJ_ex	chr3	158982995	158983175	181	1480	2321	1997.04	2032
MECOM_ex	chr3	168840358	168840506	149	1069	1619	1420.64	1464
MYNN_ex	chr3	169501222	169501373	152	1311	2035	1771.85	1802
SAMD7_ex	chr3	169646232	169646375	144	1196	1902	1666.06	1729
PHC3_ex	chr3	169896647	169896721	75	1326	1562	1465.51	1477
CLDN11_ex	chr3	170140951	170141100	150	1073	1727	1506.81	1568.5
SLC2A2_ex	chr3	170716001	170716143	143	893	1380	1197.36	1218
PIK3CA_ex	chr3	178916514	178916999	486	1485	3066	2472.64	2542.5
PIK3CA_ex_2	chr3	178921304	178921594	291	1423	2659	2216.79	2305
PIK3CA_ex_3	chr3	178927964	178928132	169	1117	2272	1879.69	1969
PIK3CA_ex_4	chr3	178935989	178936159	171	877	1549	1331.96	1391
PIK3CA_ex_5	chr3	178951854	178952172	319	1111	2130	1740.55	1825
SOX2_ex	chr3	181430124	181430303	180	229	1274	759.739	762.5
SOX2_ex_2	chr3	181430354	181430630	277	1205	2201	1774.55	1830
SOX2_ex_3	chr3	181430674	181430922	249	1167	1683	1443.91	1498
SOX2_ex_4	chr3	181430929	181431073	145	682	1446	1124.31	1142
ATP11B_ex	chr3	182584062	182584219	158	693	1123	957.481	978.5
MCCC1_ex	chr3	182733212	182733363	152	1130	1824	1575.15	1610.5
MCF2L2_ex	chr3	183014776	183014924	149	1248	1832	1615.11	1628
KLHL6_ex	chr3	183273223	183273359	137	1328	1925	1723.04	1775
HTR3E_ex	chr3	183818283	183818415	133	1256	1955	1702.15	1727
