Description	Chr	Start	End	Length	Min Depth	Max Depth	Average Depth
GRIK3_ex	chr1	37271737	37271884	148	596	1039	877.905
GRIK3_ex_2	chr1	37346222	37346474	253	595	1271	1056.28
MACF1_ex	chr1	39927559	39927709	151	738	1254	1046.56
PABPC4_ex	chr1	40035524	40035667	144	773	1112	981.667
NT5C1A_ex	chr1	40124904	40125044	141	752	1117	975.355
MYCL_ex	chr1	40363259	40363431	173	659	1027	892.624
RLF_ex	chr1	40627119	40627271	153	790	1272	1095.38
LRRIQ3_ex	chr1	74575056	74575253	198	716	1348	1129.06
TGFBR3_ex	chr1	92185462	92185681	220	561	1132	899.114
LPPR4_ex	chr1	99771257	99772585	1329	698	1457	1309.16
NRAS_ex	chr1	115256398	115256631	234	855	1523	1264.89
NRAS_ex_2	chr1	115258638	115258818	181	1069	1670	1472.86
TARS2_ex	chr1	150477075	150477229	155	876	1272	1129.26
MCL1_ex	chr1	150550760	150550919	160	1270	1907	1691.66
CTSS_ex	chr1	150727470	150727631	162	709	1118	985.698
SEMA6C_ex	chr1	151108075	151108232	158	652	1046	897.766
RFX5_ex	chr1	151316185	151316324	140	1034	1453	1282.06
LELP1_ex	chr1	153177253	153177394	142	667	1097	959.965
S100A7_ex	chr1	153430293	153430426	134	657	932	829.157
DENND4B_ex	chr1	153907318	153907429	112	682	957	850.679
HAX1_ex	chr1	154246270	154246346	77	1017	1252	1161.48
IL6R_ex	chr1	154401715	154401878	164	671	1257	1062.6
PKLR_ex	chr1	155264325	155264472	148	557	843	734.932
SPTA1_ex	chr1	158627234	158627465	232	729	1084	953.974
SPTA1_ex_2	chr1	158632484	158632728	245	769	1265	1089.42
DDR2_ex	chr1	162743224	162743417	194	824	1228	1085.4
DDR2_ex_2	chr1	162745419	162745656	238	742	1287	1112.13
DDR2_ex_3	chr1	162745904	162746192	289	927	1598	1378.33
DDR2_ex_4	chr1	162748334	162748548	215	988	1608	1421.13
DDR2_ex_5	chr1	162749879	162750051	173	870	1379	1206.5
TNN_ex	chr1	175086076	175086211	136	972	1301	1201.31
TNN_ex_2	chr1	175086221	175086297	77	775	1141	978.325
TNR_ex	chr1	175372301	175372766	466	498	1366	1131.11
ASTN1_ex	chr1	176915056	176915285	230	649	1123	957.217
ASTN1_ex_2	chr1	177001586	177002014	429	768	1205	1073.41
BRINP3_ex	chr1	190067124	190068224	1101	993	2011	1734.89
BRINP3_ex_2	chr1	190203479	190203619	141	822	1376	1196.89
KCNT2_ex	chr1	196227340	196227582	243	1015	1734	1532.55
NLRP3_ex	chr1	247587162	247588364	1203	905	1632	1494.29
NLRP3_ex_2	chr1	247588367	247588817	451	1405	1606	1525.24
NLRP3_ex_3	chr1	247588817	247588895	79	1062	1420	1294.41
TRIM58_ex	chr1	248039192	248039764	573	641	1486	1203.88
DDX1_ex	chr2	15760345	15760498	154	745	1180	1002.97
MYCN_ex	chr2	16082505	16082642	138	74	166	134.261
ALK_ex	chr2	29416068	29416797	730	881	1781	1518.13
ALK_ex_2	chr2	29419608	29419751	144	704	1099	954.868
ALK_ex_3	chr2	29420373	29420567	195	947	1492	1301.66
ALK_ex_4	chr2	29430003	29430159	157	729	1105	981.172
ALK_ex_5	chr2	29432613	29432759	147	831	1204	1064.76
ALK_ex_6	chr2	29436818	29436971	154	693	1028	892.169
ALK_ex_7	chr2	29443538	29443734	197	642	1073	933.396
ALK_ex_8	chr2	29445168	29445304	137	892	1192	1078.79
