Description	Chr	Start	End	Length	Min Depth	Max Depth	Average Depth
GRIK3_ex	chr1	37271737	37271884	148	1126	1760	1489.44
GRIK3_ex_2	chr1	37346222	37346474	253	1494	3080	2474.11
MACF1_ex	chr1	39927559	39927709	151	1100	1762	1479.29
PABPC4_ex	chr1	40035524	40035667	144	1058	1531	1355.54
NT5C1A_ex	chr1	40124904	40125044	141	1259	1816	1576.38
MYCL_ex	chr1	40363259	40363431	173	886	1375	1202.33
RLF_ex	chr1	40627119	40627271	153	1078	1693	1452.75
LRRIQ3_ex	chr1	74575056	74575253	198	1181	2130	1768.54
TGFBR3_ex	chr1	92185462	92185681	220	877	1745	1395
LPPR4_ex	chr1	99771257	99772585	1329	1114	2685	2254.71
NRAS_ex	chr1	115256398	115256631	234	1197	2375	1896.73
NRAS_ex_2	chr1	115258638	115258818	181	1645	2569	2223.63
TARS2_ex	chr1	150477075	150477229	155	1228	1896	1659.79
MCL1_ex	chr1	150550760	150550919	160	1542	2249	2000.91
CTSS_ex	chr1	150727470	150727631	162	1058	1592	1371.04
SEMA6C_ex	chr1	151108075	151108232	158	872	1390	1218.17
RFX5_ex	chr1	151316185	151316324	140	1241	1815	1594.79
LELP1_ex	chr1	153177253	153177394	142	1045	1618	1443.08
S100A7_ex	chr1	153430293	153430426	134	663	1178	1035.62
DENND4B_ex	chr1	153907318	153907429	112	461	791	682.545
HAX1_ex	chr1	154246270	154246346	77	1203	1500	1400.71
IL6R_ex	chr1	154401715	154401878	164	688	1339	1109.09
PKLR_ex	chr1	155264325	155264472	148	670	975	843.554
SPTA1_ex	chr1	158627234	158627465	232	1062	1651	1405.84
SPTA1_ex_2	chr1	158632484	158632728	245	1296	2275	1943.28
DDR2_ex	chr1	162743224	162743417	194	1434	2273	1958.36
DDR2_ex_2	chr1	162745419	162745656	238	1362	2242	1920.34
DDR2_ex_3	chr1	162745904	162746192	289	1660	3213	2576.5
DDR2_ex_4	chr1	162748334	162748548	215	1562	2634	2311.73
DDR2_ex_5	chr1	162749879	162750051	173	1273	2049	1776.61
TNN_ex	chr1	175086076	175086211	136	1455	1912	1767.74
TNN_ex_2	chr1	175086221	175086297	77	1089	1735	1411.12
TNR_ex	chr1	175372301	175372766	466	804	2305	1829.55
ASTN1_ex	chr1	176915056	176915285	230	944	1848	1530.92
ASTN1_ex_2	chr1	177001586	177002014	429	1209	2190	1824
BRINP3_ex	chr1	190067124	190068224	1101	1123	3171	2565.85
BRINP3_ex_2	chr1	190203479	190203619	141	967	1376	1225.89
KCNT2_ex	chr1	196227340	196227582	243	1307	2516	2146.8
NLRP3_ex	chr1	247587162	247588364	1203	1232	2955	2426.19
NLRP3_ex_2	chr1	247588367	247588817	451	2119	3042	2599.18
NLRP3_ex_3	chr1	247588817	247588895	79	1597	2212	1935.35
TRIM58_ex	chr1	248039192	248039764	573	975	2803	2172.29
